1719823617.275348,2.8574,0.0,0.077,-0.0016,0.0014,100.4112,False,0.8991,0.0,0.0957,-0.0077,-0.0033,103.4525,True
1719823617.304925,2.8575,0.0,0.0526,-0.0032,0.001,100.505,False,0.8993,0.0,0.1159,0.0,0.0,103.4525,True
1719823617.3354568,2.857,0.0,-0.0496,-0.0048,-0.0012,100.5519,False,0.8991,0.0,0.0074,0.0048,0.0045,103.4525,True
1719823617.3652382,2.8572,0.0,-0.0115,0.0,-0.0,100.5519,False,0.8983,0.0,-0.173,0.0027,-0.0026,103.2375,True
1719823617.3955493,2.8575,0.0,0.1234,-0.0032,0.0006,100.4581,False,0.8988,0.0,-0.0357,-0.0027,-0.0004,103.3988,True
1719823617.4241257,2.8569,0.0,-0.0474,0.0096,0.0003,100.5519,False,0.8988,0.0,-0.0209,-0.005,-0.003,103.5062,True
1719823617.4537973,2.8568,0.0,-0.0927,-0.0033,-0.0028,100.4581,False,0.8988,0.0,-0.0124,-0.0098,0.0054,103.4525,True
1719823617.483236,2.8566,0.0,-0.1791,0.0111,-0.0023,100.5987,False,0.8995,0.0,0.1333,0.0078,-0.0,103.56,True
1719823617.513339,2.8565,0.0,-0.1459,-0.0065,-0.0011,100.5519,False,0.8992,0.0,0.08,0.0,0.0,103.4525,True
1719823617.543551,2.8569,0.0,-0.0278,0.0032,0.0014,100.5519,False,0.8991,0.0,0.005,-0.0077,-0.0034,103.4525,True
1719823617.5733342,2.8572,0.0,0.0431,0.0145,0.001,100.5519,False,0.8992,0.0,0.0799,-0.0002,0.0022,103.4525,True
1719823617.6029797,2.8571,0.0,0.0236,0.0032,-0.0009,100.4581,False,0.8985,0.0,-0.1555,-0.0023,-0.0028,103.7212,True
1719823617.633343,2.8576,0.0,0.1061,-0.0016,0.0017,100.505,False,0.899,0.0,0.0521,-0.0026,-0.0002,103.4525,True
1719823617.663101,2.857,0.0,-0.004,-0.0032,0.0005,100.5987,False,0.8988,0.0,-0.0084,0.0024,0.0027,103.4525,True
1719823617.694897,2.8568,0.0,-0.0629,0.0033,0.0019,100.5519,False,0.8991,0.0,0.0977,0.0024,0.0025,103.3988,True
1719823617.722557,2.8569,0.0,-0.0481,-0.0032,0.0008,100.505,False,0.899,0.0,0.0356,0.0077,0.0031,103.4525,True
1719823617.7522986,2.8573,0.0,0.0645,0.0033,0.0023,100.88,False,0.8988,0.0,-0.0398,0.0024,-0.0083,103.5062,True
1719823617.7819479,2.857,0.0,-0.0286,-0.0,0.0,100.5519,False,0.8989,0.0,-0.0091,0.0024,0.0027,103.5062,True
