Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-314.015778,-771.012512,-133.616364,-285.001099,-766.426208,-227.221603,-348.071289,-205.375504,-117.635704,-287.222290,-640.191406,-251.248718,-322.208771,-174.433533,-207.662674,-308.136414,-289.986420,-262.656830,-282.640228,-600.453857,-392.277039,-302.442505,-253.692627,-407.762726,-313.642059,-428.448547,-442.415466
1,0.008000,-313.964355,-769.532837,-133.522064,-284.712677,-765.595825,-226.933548,-347.728516,-203.567261,-118.072075,-286.939819,-639.529236,-251.075928,-322.167786,-173.358597,-207.967712,-308.068542,-289.001984,-262.351746,-282.463348,-600.171570,-392.194763,-302.623718,-253.591125,-407.594879,-313.646362,-428.136841,-442.234802
2,0.017000,-313.947388,-767.760071,-132.985886,-284.508423,-764.741943,-226.385696,-347.750122,-201.731277,-118.095779,-286.788544,-638.738708,-250.832108,-322.388428,-172.022079,-208.248520,-308.192139,-288.071838,-261.925140,-282.252502,-599.941528,-392.058289,-302.237030,-252.708466,-407.590759,-313.587311,-427.954773,-442.103699
3,0.025000,-313.979553,-766.166565,-132.594727,-284.274109,-763.955872,-225.898727,-347.904572,-199.703644,-118.144035,-286.688019,-638.041199,-250.535645,-322.630127,-170.772629,-208.432755,-308.459381,-287.011932,-261.497314,-282.003540,-599.781982,-391.855042,-302.778595,-252.763428,-407.181610,-313.514984,-427.879486,-441.878876
4,0.033000,-313.991333,-764.553162,-132.329224,-284.155548,-763.266663,-225.464828,-348.225494,-197.830109,-118.124924,-286.695038,-637.427612,-250.209305,-322.920197,-169.416046,-208.683548,-308.641907,-286.021698,-261.090057,-281.782501,-599.686951,-391.708801,-302.867554,-252.709381,-407.052277,-313.396790,-427.834381,-441.766724
5,0.042000,-314.068420,-762.982544,-132.011475,-284.055237,-762.629089,-225.008133,-348.292389,-195.970016,-118.235153,-286.654877,-636.965942,-250.089401,-322.775452,-168.007935,-208.986145,-308.909119,-284.873260,-260.747833,-281.521484,-599.686462,-391.717041,-302.838806,-252.725357,-407.028931,-313.259918,-427.839752,-441.773224
6,0.050000,-314.114075,-761.407471,-131.762314,-284.052185,-762.209900,-224.647186,-348.213470,-194.157913,-118.335716,-286.508392,-636.596252,-250.210754,-323.032959,-166.852463,-209.093338,-308.805725,-283.812653,-260.565521,-281.210968,-599.832153,-391.949280,-302.745941,-252.820724,-407.047638,-313.014648,-428.017303,-441.961884
7,0.058000,-314.170593,-759.836304,-131.440155,-284.001984,-761.757812,-224.261398,-348.701904,-192.457291,-118.008621,-286.344452,-636.282104,-250.571167,-322.736755,-165.555222,-209.321228,-308.679352,-282.819336,-260.416626,-280.867157,-600.087219,-392.423004,-302.362427,-253.219254,-407.415649,-312.743469,-428.199280,-442.261169
8,0.067000,-314.122681,-758.287781,-131.245850,-283.788147,-761.336853,-223.985733,-348.556671,-190.887451,-118.182594,-286.116455,-636.082947,-251.122498,-322.688782,-164.506256,-209.603897,-308.501923,-281.781097,-260.465118,-280.538971,-600.437683,-393.075958,-302.051086,-253.549011,-407.715942,-312.408051,-428.461212,-442.799133
9,0.075000,-314.074615,-756.637085,-130.995712,-283.657471,-760.938171,-223.628693,-347.818878,-190.253006,-118.647179,-285.762238,-635.851929,-251.707947,-322.292725,-163.703110,-210.024673,-308.142670,-281.021545,-260.691345,-280.264954,-600.815247,-393.816467,-301.610626,-254.030136,-408.194855,-312.155273,-428.843933,-443.412994
