Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0,-302.818085,-751.010132,-129.902603,-336.564728,-132.108719,-118.170357,-276.553833,-641.243469,-241.153671,-314.005798,-102.085869,-209.199005,-300.752625,-226.476807,-239.936966,-274.928986,-587.394592,-377.477417,-294.880798,-240.950684,-389.02243,-274.193909,-767.89386,-221.554123,-307.440552,-415.242615,-425.487091
1,0.008,-302.665039,-749.146667,-129.736893,-335.935394,-134.734695,-116.382965,-276.405762,-638.618103,-240.343826,-313.093201,-105.67614,-207.936966,-300.11319,-229.939453,-238.680984,-275.015106,-587.127502,-377.431488,-294.692596,-240.572052,-388.156586,-274.02243,-765.21814,-221.517883,-307.308563,-414.786957,-424.811127
2,0.017,-302.734344,-747.070984,-129.552856,-335.307648,-134.861862,-115.432327,-276.338562,-635.863281,-239.636002,-311.449219,-109.718666,-207.803223,-299.036957,-234.276749,-237.449005,-274.981812,-586.815979,-377.533112,-294.297852,-240.222214,-387.055908,-274.130463,-762.834778,-221.541138,-307.070923,-414.367432,-424.330292
3,0.025,-302.771881,-745.027771,-129.533173,-334.243958,-135.640656,-116.738373,-276.257935,-633.195923,-239.108932,-310.313049,-112.493683,-209.708572,-298.499359,-237.585144,-236.833191,-274.973328,-586.473511,-377.667633,-294.131195,-239.873871,-386.26767,-274.240845,-760.077087,-221.502625,-306.734924,-413.851013,-424.070007
4,0.033,-302.950684,-743.228088,-129.292786,-330.984283,-144.509125,-119.459106,-276.281525,-630.393005,-238.593109,-309.102783,-114.221031,-210.618698,-297.773956,-239.743347,-236.695465,-274.822754,-586.140198,-377.863617,-293.868225,-239.670944,-386.210602,-274.36908,-757.383057,-221.570312,-306.560669,-413.398102,-424.046265
5,0.042,-303.107422,-741.45282,-129.048782,-329.51474,-154.813507,-120.39566,-276.184143,-627.758423,-238.190536,-307.286713,-116.718681,-208.443527,-296.131805,-241.903671,-236.70607,-274.614258,-585.72345,-378.151642,-293.613129,-239.284576,-386.41748,-274.457092,-754.902771,-221.796997,-306.48114,-413,-424.236786
6,0.05,-303.018829,-739.489746,-128.956085,-326.931122,-159.794907,-118.025093,-275.891663,-625.311157,-238.023483,-305.608582,-120.820168,-206.293137,-294.648651,-245.36882,-237.613556,-274.47641,-585.508423,-378.523132,-293.002899,-238.769623,-387.007294,-274.496399,-752.38269,-221.861191,-306.36853,-412.742645,-424.589111
7,0.058,-302.930206,-737.377869,-128.842957,-326.524689,-160.157806,-116.004028,-275.66037,-622.871765,-237.870499,-304.129761,-126.043129,-205.833878,-293.776001,-250.150925,-238.066177,-274.459229,-585.450378,-379.025269,-292.25647,-238.49855,-387.476959,-274.426819,-749.903687,-221.686371,-306.189362,-412.523834,-425.090424
8,0.067,-302.877014,-735.385681,-128.699982,-326.411072,-159.629135,-117.696884,-275.550568,-620.533447,-237.63858,-303.414032,-129.648087,-209.119034,-293.8125,-254.227463,-239.205414,-274.523956,-585.571289,-379.451111,-291.734894,-238.842789,-388.252808,-274.455505,-747.556885,-221.517944,-305.931366,-412.577545,-425.590332
9,0.075,-303.107666,-733.264648,-128.732147,-323.517242,-165.983322,-121.524559,-275.601013,-618.182129,-237.510269,-302.840179,-131.559219,-211.646255,-293.405548,-256.659027,-240.675537,-274.557007,-585.70343,-379.797241,-291.264709,-238.974884,-389.510986,-274.814972,-745.291321,-221.709656,-305.646027,-412.79776,-426.369202
