Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
18,0.15,-312.634613,-738.636536,-133.344269,-333.11673,-359.711975,-122.657661,-312.46756,-273.347931,-164.115906,-301.362579,-341.677032,-272.953766,-285.346191,-575.069092,-357.04361,-301.555115,-227.240143,-370.275787,-288.484222,-587.639404,-211.560242,-286.228943,-714.800964,-224.191345,-315.475708,-402.498169,-404.85141
19,0.158,-312.605774,-736.718506,-132.934753,-333.228333,-356.917603,-122.468307,-312.784943,-269.465424,-161.814316,-301.836517,-339.321716,-269.652649,-285.678589,-572.693665,-354.213135,-301.873413,-224.891129,-367.172974,-288.86673,-584.845459,-208.745972,-286.2836,-711.848877,-223.29187,-315.843079,-400.109619,-401.897308
20,0.167,-312.665131,-734.684326,-132.714066,-333.33783,-354.247803,-122.338158,-313.207855,-266.054169,-159.748367,-302.082703,-337.129517,-267.003632,-285.913574,-570.223267,-351.65271,-302.191254,-222.547592,-364.213989,-289.08197,-581.929138,-206.13504,-286.355652,-708.629822,-222.59407,-316.06424,-397.662781,-399.151886
21,0.175,-312.803925,-732.546509,-132.472321,-333.467468,-351.73465,-122.246452,-313.479156,-262.853363,-158.290253,-302.371979,-335.05014,-264.701843,-285.957611,-567.793518,-349.329956,-302.503174,-220.11026,-361.519104,-289.027313,-578.891602,-203.716675,-286.601196,-705.258423,-221.99498,-316.318237,-395.190887,-396.544098
22,0.183,-312.78952,-730.318176,-132.330536,-333.563538,-349.374298,-122.043861,-313.680237,-259.996155,-157.111023,-302.428131,-333.300476,-262.901642,-285.950989,-565.360046,-346.977417,-302.844177,-217.636627,-358.891541,-288.912994,-575.499084,-201.352188,-286.637787,-701.610474,-221.335144,-316.536499,-392.780853,-394.075775
23,0.192,-312.784668,-727.909302,-132.114822,-333.575256,-347.142487,-122.030899,-313.604919,-257.343994,-156.112991,-302.630646,-331.536072,-261.238403,-286.089142,-562.870483,-344.657593,-303.051636,-215.254059,-356.421722,-288.805969,-571.8479,-198.987717,-286.587555,-697.677368,-220.6129,-316.741699,-390.352203,-391.60672
24,0.2,-312.630219,-725.539978,-131.952087,-333.640472,-344.886292,-121.879501,-313.33194,-254.605408,-155.327316,-302.774231,-329.681793,-259.448212,-286.230499,-560.505798,-342.293182,-303.272675,-212.729431,-353.85025,-288.899506,-568.065125,-196.600143,-286.463989,-693.506531,-219.806885,-316.954498,-387.930359,-389.256744
25,0.208,-312.579468,-723.267578,-131.920517,-333.648193,-342.656799,-121.805923,-313.308777,-251.988052,-154.246368,-302.865753,-327.907745,-257.873138,-286.506653,-558.195251,-340.066132,-303.358643,-210.571518,-351.775085,-289.232361,-564.330444,-194.348557,-286.536804,-689.463196,-218.915451,-317.162201,-385.623657,-387.048035
26,0.217,-312.80835,-720.957886,-131.75708,-333.680786,-340.307953,-121.685562,-313.304138,-249.134186,-152.873734,-303.192963,-325.742188,-255.794617,-286.759796,-555.829163,-338.016571,-303.454956,-208.24942,-349.675842,-289.515503,-560.663452,-192.233322,-286.815948,-685.483154,-218.185654,-317.332581,-383.336029,-384.906311
27,0.225,-313.249573,-718.639587,-131.265839,-333.556122,-338.082764,-121.436569,-313.503235,-246.346603,-151.374496,-303.147217,-323.455872,-254.017319,-286.903046,-553.544189,-336.110474,-303.486877,-205.932541,-347.768524,-289.802673,-557.140747,-190.289932,-287.226807,-681.735962,-217.466644,-317.434296,-381.113647,-383.03891
28,0.233,-313.437927,-716.332153,-131.198212,-333.58197,-335.973694,-121.313332,-313.752319,-243.838852,-150.241226,-303.316772,-321.291016,-252.539062,-287.017639,-551.190369,-334.458344,-303.674316,-203.673706,-346.076904,-290.102234,-553.832458,-188.717377,-287.393433,-678.119324,-216.886246,-317.550415,-378.716309,-381.321472
29,0.242,-313.252106,-714.34021,-131.492905,-333.680695,-333.917114,-121.140747,-313.801819,-241.599121,-149.507248,-303.335968,-319.479614,-251.503586,-287.077087,-548.973511,-332.993164,-303.7565,-201.328247,-344.531372,-290.15155,-550.843567,-187.251465,-287.400299,-674.891602,-216.318115,-317.65686,-376.394165,-379.876495
30,0.25,-313.131592,-712.250061,-131.523651,-333.50708,-331.826202,-120.789314,-313.68338,-239.235962,-148.674332,-303.212158,-317.604034,-250.581833,-287.125031,-546.772156,-331.677612,-303.819794,-199.156967,-343.190277,-290.097443,-548.114807,-185.876389,-287.388794,-671.966431,-215.873535,-317.71637,-374.307007,-378.518463
31,0.258,-313.205322,-710.079163,-131.412964,-334.183868,-329.368042,-120.787453,-313.714417,-236.865952,-147.822479,-303.356384,-315.64151,-249.558731,-287.133453,-544.778992,-330.556854,-303.898926,-197.170288,-342.051788,-290.053467,-545.598145,-184.755096,-287.354523,-669.316833,-215.585571,-317.770966,-372.161377,-377.367371
32,0.267,-313.622742,-708.066895,-131.134415,-334.324951,-327.275848,-120.758797,-313.851196,-234.616608,-147.037994,-303.258636,-313.611847,-248.496399,-287.208954,-542.789795,-329.53363,-303.907959,-195.183365,-341.073456,-290.146027,-543.26239,-183.765045,-287.480927,-666.729858,-215.2845,-317.82077,-370.2276,-376.397552
33,0.275,-313.837433,-706.079773,-131.026291,-334.360382,-325.258759,-120.624481,-314.042847,-232.448578,-146.39801,-303.283813,-311.763153,-247.530731,-287.249298,-540.966187,-328.582001,-303.967499,-193.363754,-340.125549,-290.195953,-540.992737,-182.793884,-287.676361,-664.348267,-214.992584,-317.858154,-368.393585,-375.462128
34,0.283,-313.941925,-704.140076,-130.954849,-334.361969,-323.244171,-120.588593,-314.243683,-230.257904,-145.754257,-303.394958,-310.01828,-246.660385,-287.305481,-539.276733,-327.702515,-304.004822,-191.613251,-339.301636,-290.217377,-538.897339,-182.079208,-287.81842,-661.983337,-214.772736,-317.90744,-366.815643,-374.596893
35,0.292,-313.920013,-702.190918,-130.974106,-334.424377,-321.299713,-120.46981,-314.432739,-228.234558,-145.157501,-303.660706,-308.406158,-245.713074,-287.294037,-537.635315,-326.872894,-304.12973,-190.041031,-338.473541,-290.368408,-536.697937,-181.283142,-287.832977,-659.626709,-214.560349,-317.905609,-365.142731,-373.852448
36,0.3,-313.557404,-700.423706,-131.150513,-334.518188,-319.439575,-120.388565,-314.698425,-226.138138,-145.10434,-303.79303,-306.871979,-245.05423,-287.219543,-536.102539,-326.241852,-304.301178,-188.469894,-337.734192,-290.47287,-534.480225,-180.607803,-287.761322,-657.232239,-214.042679,-317.917847,-363.560455,-373.119263
37,0.308,-313.557556,-698.486938,-131.029709,-334.528564,-317.502899,-120.387115,-314.942139,-224.079376,-144.965683,-303.696411,-305.725739,-244.546783,-286.988434,-534.578491,-325.590424,-304.575317,-187.076324,-337.005341,-290.395172,-532.518066,-180.010712,-287.633362,-655.242859,-214.016068,-317.894562,-362.21991,-372.499969
38,0.317,-313.553619,-696.61792,-130.940643,-334.691376,-315.555695,-120.235916,-315.380981,-222.279755,-144.894531,-303.930298,-304.359222,-243.970551,-286.671295,-533.34552,-325.037292,-304.770447,-185.771271,-336.512543,-290.370453,-530.563843,-179.42305,-287.478638,-653.200073,-213.823273,-317.807343,-360.886017,-372.008575
39,0.325,-313.517883,-694.860168,-130.643234,-334.872101,-313.758728,-120.22081,-315.596039,-220.405243,-145.063614,-304.112427,-303.155823,-243.564209,-286.254242,-532.05658,-324.683167,-305.121674,-184.585983,-336.124908,-290.296204,-528.705811,-179.080338,-287.170135,-651.348022,-213.512711,-317.728027,-359.745789,-371.598083
40,0.333,-313.623383,-693.009888,-130.262436,-334.807007,-312.031799,-120.239487,-316.17038,-218.638321,-145.105026,-304.336578,-302.110657,-243.257568,-285.848694,-530.901367,-324.412354,-305.575684,-183.470337,-335.774841,-290.122925,-526.968689,-178.85437,-286.858948,-649.498596,-213.011032,-317.620514,-358.622589,-371.398682
41,0.342,-313.252716,-691.424622,-130.379898,-335.009979,-310.407806,-120.178825,-316.287201,-217.010132,-145.551498,-304.494385,-301.202972,-243.038666,-285.399841,-529.953369,-324.287079,-305.841431,-182.532532,-335.638885,-289.959625,-525.369446,-178.728073,-286.480591,-648.026733,-213.051392,-317.483368,-357.779663,-371.286682
42,0.35,-313.115417,-689.937805,-130.167603,-335.026886,-308.752167,-120.227013,-316.595123,-215.673019,-146.044724,-304.470703,-300.338867,-242.974548,-284.965424,-529.085632,-324.198517,-306.098663,-181.757339,-335.673798,-289.813904,-523.894531,-178.737061,-286.248047,-646.411011,-212.616058,-317.257568,-357.013031,-371.339783
43,0.358,-313.147919,-688.31543,-129.953323,-335.086395,-307.213348,-120.132469,-316.882629,-214.087112,-146.756775,-304.531738,-299.701477,-242.953674,-284.498444,-528.500244,-324.298431,-306.294952,-181.186996,-335.830902,-289.721893,-522.515381,-178.888382,-285.897034,-645.249634,-212.609222,-317.144073,-356.476379,-371.410248
44,0.367,-312.896271,-686.786072,-129.776779,-335.24469,-305.624298,-120.006287,-317.283844,-212.871323,-147.403198,-304.423615,-299.236237,-243.069305,-284.062927,-528.147217,-324.4599,-306.254272,-180.879105,-336.038361,-289.637085,-521.140625,-179.130478,-285.546265,-643.815002,-212.266174,-316.799957,-356.106934,-371.725891
45,0.375,-312.924561,-685.20813,-129.568115,-335.238922,-304.218079,-120.090919,-317.075562,-211.717438,-148.733246,-304.25238,-298.968597,-243.249817,-283.656738,-528.045105,-324.810364,-306.058319,-180.754578,-336.449982,-289.376923,-519.923035,-179.615204,-285.363007,-642.889404,-212.33931,-316.568756,-356.003448,-372.140411
46,0.383,-312.881744,-683.648865,-129.388748,-335.138885,-302.722473,-120.076187,-317.00766,-210.72438,-149.7202,-303.888947,-298.778564,-243.471497,-283.168945,-528.257019,-325.443207,-305.757904,-180.87146,-337.004944,-288.912354,-518.766907,-180.172745,-285.138062,-641.893799,-212.358154,-316.243958,-356.131958,-372.636841
47,0.392,-312.501343,-682.216553,-129.375198,-335.109558,-301.382141,-119.986946,-316.87027,-209.600327,-150.786285,-303.516357,-298.786041,-243.662201,-282.822113,-528.572266,-326.233185,-305.344971,-181.279663,-337.753571,-288.737976,-517.724182,-180.906311,-284.942139,-641.152344,-212.400085,-315.876465,-356.559784,-373.37207
48,0.4,-312.770172,-680.706238,-128.929214,-335.009003,-299.960907,-119.963379,-316.652496,-208.808777,-152.068527,-303.048218,-299.028351,-243.939514,-282.443756,-529.157532,-327.12381,-304.823303,-181.895432,-338.492706,-288.225006,-516.866028,-181.949966,-284.694977,-640.523804,-212.503738,-315.499512,-357.088959,-374.192444
49,0.408,-312.340607,-679.56958,-128.928741,-334.929565,-298.785919,-119.870781,-316.452393,-208.079041,-153.412857,-302.62146,-299.401276,-244.182678,-282.096222,-529.95636,-328.030701,-304.330017,-182.571915,-339.176178,-287.709167,-516.341003,-183.262436,-284.507965,-640.047119,-212.670731,-315.056488,-357.717804,-375.104706
50,0.417,-312.259918,-678.217651,-128.853897,-334.858063,-297.381439,-119.777161,-316.302277,-207.33255,-154.684235,-302.274902,-299.943726,-244.549255,-281.728424,-530.887878,-329.024475,-303.735626,-183.452774,-339.973663,-287.351227,-515.776428,-184.395599,-284.308838,-639.657532,-212.836914,-314.67514,-358.523346,-375.899109
51,0.425,-312.381409,-676.832458,-128.598267,-334.715363,-296.2883,-119.783211,-316.048462,-206.85701,-156.280823,-301.882721,-300.576721,-244.93924,-281.345551,-531.855286,-330.016449,-303.281525,-184.48645,-340.758118,-287.03775,-515.263306,-185.609512,-284.11438,-639.353638,-212.925797,-314.222687,-359.5979,-376.83551
52,0.433,-312.481659,-675.564697,-128.274933,-334.603394,-295.013153,-119.77755,-315.87558,-206.460266,-157.948486,-301.486786,-301.317505,-245.37204,-280.99408,-533.035706,-331.07193,-302.860901,-185.681442,-341.716949,-286.934418,-514.562256,-186.57077,-283.93689,-639.053345,-213.09462,-313.763062,-360.702271,-377.899994
53,0.442,-312.526459,-674.213135,-128.079803,-334.479248,-293.89917,-119.793915,-315.588806,-206.081253,-159.85466,-301.177368,-302.08316,-245.886368,-280.580414,-534.406677,-332.165497,-302.454956,-187.002151,-342.79007,-286.801025,-514.054138,-187.901886,-283.772156,-638.798096,-213.292007,-313.377167,-362.072815,-378.958344
54,0.45,-312.551392,-672.943481,-127.700012,-334.340607,-292.727234,-119.807106,-315.439392,-205.91951,-161.636841,-300.920044,-302.922577,-246.613434,-280.178711,-535.651611,-333.380432,-302.160828,-188.365768,-344.061127,-286.564331,-513.638245,-189.386887,-283.59259,-638.600891,-213.46492,-312.989197,-363.490448,-380.261841
55,0.458,-312.429352,-671.574768,-127.681358,-334.318573,-291.603912,-119.860641,-315.283508,-205.940567,-163.559204,-300.777466,-303.891968,-247.354935,-279.743347,-537.208313,-334.646057,-302.034668,-189.944427,-345.571045,-286.216949,-513.265808,-191.061554,-283.376038,-638.467346,-213.609604,-312.684814,-365.031525,-381.701385
56,0.467,-312.440094,-670.143311,-127.423958,-334.190643,-290.638733,-119.955788,-315.205872,-206.170944,-165.527618,-300.76181,-304.89325,-248.152649,-279.330444,-538.697571,-336.021912,-301.769135,-191.623413,-347.120575,-285.925659,-512.900818,-192.7379,-283.136383,-638.397034,-213.808609,-312.382751,-366.705231,-383.157227
57,0.475,-312.458221,-668.855103,-127.234848,-334.115356,-289.722778,-120.05558,-315.073242,-206.459061,-167.624191,-300.582886,-305.985779,-249.16748,-278.958313,-540.457214,-337.443726,-301.755127,-193.372147,-348.80426,-285.72818,-512.556885,-194.565308,-282.869019,-638.396118,-213.982651,-312.094086,-368.535583,-384.686523
58,0.483,-312.258362,-667.582642,-127.050621,-334.114746,-288.795807,-120.145905,-315.059082,-206.786026,-169.8284,-300.463348,-307.184204,-250.259781,-278.574219,-542.258545,-338.981689,-301.581696,-195.295792,-350.566223,-285.598877,-512.494385,-196.650192,-282.600769,-638.51886,-214.134766,-311.875549,-370.458527,-386.440704
59,0.492,-312.416534,-666.365845,-126.816658,-334.020325,-287.998779,-120.381516,-314.898315,-207.358398,-172.175003,-300.320679,-308.629883,-251.371445,-278.26239,-544.343506,-340.630371,-301.426453,-197.341415,-352.485809,-285.54657,-512.569458,-198.752716,-282.461639,-638.767639,-214.396896,-311.597717,-372.483887,-388.217224
60,0.5,-312.456818,-665.074707,-126.626434,-334.063599,-287.295685,-120.555511,-314.667542,-208.070404,-174.564621,-300.367004,-310.054352,-252.613373,-278.067627,-546.532837,-342.404205,-301.249756,-199.661255,-354.448395,-285.404724,-512.846985,-200.929062,-282.378845,-639.19635,-214.660217,-311.368011,-374.742432,-390.100189
61,0.508,-312.424683,-663.975586,-126.546341,-334.041229,-286.637329,-120.766098,-314.346771,-208.895554,-176.924332,-300.071075,-311.653503,-253.966034,-277.904633,-548.826416,-344.314178,-301.05835,-201.933334,-356.509674,-285.2995,-513.328125,-203.357819,-282.228516,-639.830566,-215.028275,-311.171661,-377.106873,-392.151855
62,0.517,-312.426605,-662.777222,-126.299606,-333.874664,-286.029144,-120.94632,-313.983826,-209.890411,-179.219818,-299.899567,-313.282349,-255.239761,-277.829803,-551.196716,-346.393677,-300.831116,-204.480484,-358.754272,-285.141693,-513.959473,-205.977356,-282.09317,-640.694641,-215.352371,-310.988464,-379.612946,-394.318268
63,0.525,-312.560333,-661.581848,-126.100761,-333.49115,-285.822083,-121.463341,-313.607452,-210.942184,-181.304626,-299.654205,-314.890411,-256.504578,-277.665558,-553.882507,-348.703186,-300.519012,-207.169571,-361.099792,-284.870209,-514.913452,-208.73085,-282.039307,-641.681885,-215.600082,-310.852509,-382.20697,-396.608978
64,0.533,-312.548523,-660.523743,-126.041054,-332.435516,-287.810638,-122.871323,-312.892151,-212.784302,-182.72525,-299.244293,-316.747375,-258.048615,-277.557617,-556.652527,-351.121155,-300.181091,-209.872879,-363.453552,-284.698517,-515.983032,-211.586426,-282.089569,-642.964722,-215.961685,-310.717896,-385.015015,-399.008179
65,0.542,-312.775482,-659.276428,-125.792549,-331.284851,-291.648956,-123.883575,-311.542511,-216.42691,-183.263565,-298.461334,-319.302246,-260.112885,-277.550018,-559.357971,-353.706848,-299.810425,-212.548233,-365.753906,-284.533844,-517.228882,-214.704102,-282.053955,-644.33429,-216.314545,-310.604645,-387.673737,-401.428345
66,0.55,-312.889221,-658.147949,-125.726227,-329.773468,-295.717285,-123.652115,-310.090515,-221.23378,-184.169128,-297.463104,-322.695099,-262.947357,-277.536041,-562.344788,-356.47168,-299.377533,-215.500656,-368.196838,-284.385437,-518.673279,-217.991989,-282.208801,-645.66864,-216.55603,-310.487122,-390.512482,-403.992279
67,0.558,-312.926056,-656.925293,-125.755432,-328.612976,-301.27179,-123.462029,-308.582336,-227.6203,-184.969391,-296.681763,-326.896515,-266.464996,-277.565765,-565.5354,-359.418854,-298.724609,-218.569046,-370.601959,-284.181396,-520.257996,-221.400192,-282.387329,-647.223145,-216.943817,-310.286835,-393.445648,-406.600647
68,0.567,-313.105164,-655.788452,-125.767426,-327.342316,-308.750397,-124.578033,-307.346954,-234.974808,-185.894867,-296.094543,-331.573273,-270.55722,-277.693146,-568.674377,-362.483337,-298.06427,-221.632568,-373.130096,-283.866272,-522.096191,-224.99852,-282.469879,-648.932251,-217.321365,-310.010651,-396.543793,-409.375916
69,0.575,-313.268066,-654.665833,-125.707626,-326.499023,-317.96701,-126.019882,-306.240967,-243.315201,-186.642761,-295.158356,-336.592529,-275.118469,-277.759796,-572.068787,-365.782837,-297.222168,-224.879288,-375.972107,-283.558563,-524.118225,-228.602005,-282.781586,-650.807312,-217.612045,-309.772186,-399.673126,-412.304382
70,0.583,-313.365143,-653.474426,-125.756905,-325.532196,-327.28476,-127.514336,-305.233582,-252.646149,-187.625824,-294.091431,-341.687714,-280.287109,-277.960358,-575.555542,-369.084503,-296.231415,-228.179825,-378.994812,-283.226624,-526.549988,-232.201874,-282.96463,-652.966309,-217.963562,-309.640625,-403.087311,-415.358276
71,0.592,-313.21759,-652.414551,-125.91378,-324.20932,-337.740997,-128.654678,-303.735382,-263.188049,-188.713669,-293.204498,-347.181854,-286.073547,-278.219971,-579.076599,-372.344147,-295.335114,-231.567764,-382.278137,-282.907806,-529.118713,-235.790314,-283.390167,-655.096985,-218.216309,-309.314392,-406.501343,-418.638336
72,0.6,-313.57486,-651.203979,-125.89872,-322.509369,-348.973419,-130.017746,-301.792053,-274.523651,-190.162872,-292.200867,-352.599854,-292.171417,-278.481659,-582.597473,-375.626923,-294.398834,-235.051682,-385.831543,-282.714203,-531.871948,-239.442245,-283.664642,-657.420471,-218.344528,-309.075562,-409.973206,-421.906525
73,0.608,-313.935974,-650.211365,-126.102211,-321.252228,-360.381012,-131.995682,-300.119293,-286.206024,-191.427231,-291.163696,-357.73468,-298.200775,-278.76947,-586.404968,-379.111115,-293.582275,-238.597305,-389.67749,-282.679688,-534.747253,-243.099442,-283.90976,-659.690857,-218.349655,-308.931335,-413.592041,-425.408844
74,0.617,-313.98114,-648.954468,-126.402435,-318.729401,-372.878113,-133.556549,-298.073456,-297.130615,-191.743454,-289.799164,-362.058868,-303.041321,-279.215057,-590.298157,-382.859039,-292.696991,-242.505402,-393.861053,-282.545929,-537.84314,-247.077576,-284.247864,-662.071167,-218.388824,-308.854767,-417.602722,-429.336609
75,0.625,-314.000427,-647.687256,-126.855103,-316.468597,-383.529022,-134.955948,-295.730682,-306.922546,-192.313782,-288.468872,-365.594513,-306.952026,-279.780426,-594.47406,-386.883728,-291.664764,-246.581299,-398.198914,-282.292908,-541.680237,-251.203949,-284.541687,-664.966614,-218.42865,-308.757294,-421.565033,-433.45343
76,0.633,-314.062744,-646.702637,-126.880928,-315.346191,-392.128815,-135.287521,-293.571014,-316.168793,-194.340134,-287.703247,-369.483643,-311.228241,-280.231628,-598.706299,-391.003906,-290.724426,-250.694778,-402.460236,-282.265137,-546.289978,-255.005417,-284.719818,-668.145813,-218.160767,-308.745148,-425.644379,-437.59494
