Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
18,0.150000,-309.709259,-823.252380,-172.174271,-283.142639,-782.988892,-257.550140,-340.690704,-321.612366,-121.412926,-286.941833,-654.520752,-255.119415,-317.524109,-262.517853,-196.508865,-304.432220,-349.511963,-289.977844,-282.458771,-609.525513,-394.567078,-302.753571,-262.782410,-412.272034,-313.305389,-437.723450,-445.402435
19,0.158000,-310.196930,-818.088318,-166.799316,-283.399323,-780.676270,-253.407120,-340.755981,-318.895935,-121.219437,-286.982819,-652.148621,-253.658051,-317.835541,-258.685883,-195.463211,-304.839966,-346.954285,-287.732971,-282.521820,-608.344666,-393.430511,-302.785156,-261.712921,-411.160156,-313.482605,-436.500854,-444.197723
20,0.167000,-310.706604,-812.636841,-161.338882,-283.733063,-778.237061,-249.167328,-340.801605,-316.180634,-120.952072,-287.147430,-649.699402,-252.122528,-317.996613,-255.089432,-194.507492,-304.963989,-344.473572,-285.776031,-282.586792,-607.121338,-392.345093,-302.896149,-260.456909,-409.870270,-313.543335,-435.361725,-443.062592
21,0.175000,-311.359131,-807.088196,-156.027481,-284.181274,-775.737244,-244.798660,-340.840668,-313.537781,-120.653206,-287.435150,-647.225342,-250.651413,-318.185486,-251.565811,-193.588837,-305.130646,-342.226929,-283.796844,-282.680298,-606.005188,-391.233521,-302.998077,-259.404968,-408.759399,-313.539215,-434.265869,-441.990509
22,0.183000,-312.257019,-801.309998,-150.749451,-284.542786,-773.010254,-240.559372,-341.448853,-310.535980,-120.633209,-287.672363,-644.679077,-249.265167,-318.183075,-248.470306,-192.979752,-305.312836,-340.095581,-282.003906,-282.643555,-604.946411,-390.223236,-302.919006,-258.308258,-407.565704,-313.540009,-433.198975,-440.947723
23,0.192000,-313.007843,-795.492004,-145.694138,-284.930878,-770.182007,-236.423538,-341.590668,-307.948914,-120.486938,-288.009674,-642.033691,-247.821808,-318.295746,-245.507843,-192.535080,-305.649170,-338.355225,-280.348145,-282.634369,-604.008728,-389.322723,-302.901123,-257.391052,-406.574005,-313.464050,-432.152161,-440.060120
24,0.200000,-313.603363,-789.508789,-140.973724,-285.369263,-767.341614,-232.431183,-341.547546,-305.493469,-120.386703,-288.111816,-639.444519,-246.619781,-318.485229,-242.801331,-192.203598,-305.583466,-336.455811,-279.167877,-282.558533,-602.955017,-388.487732,-303.007660,-256.432617,-405.751526,-313.461243,-431.250336,-439.173096
25,0.208000,-313.717468,-785.183777,-137.255051,-285.543182,-764.298218,-228.916443,-341.787994,-303.078552,-120.193382,-288.171143,-636.825317,-245.396439,-318.652374,-240.297989,-192.023483,-305.674957,-334.899719,-278.088928,-282.495422,-602.115540,-387.711304,-302.998901,-255.559387,-405.059967,-313.393005,-430.314148,-438.555450
26,0.217000,-313.856720,-783.253235,-137.244659,-285.507324,-761.693542,-228.688599,-341.957031,-300.715057,-120.049210,-288.282990,-634.027588,-244.075226,-318.682068,-238.067520,-191.965836,-305.785309,-333.475830,-277.089081,-282.454315,-601.292053,-386.788147,-303.042053,-254.706436,-404.505463,-313.317322,-429.579681,-437.889984
27,0.225000,-313.885803,-781.736206,-138.054886,-285.211823,-759.467224,-229.356766,-341.972260,-298.500092,-119.980522,-288.195892,-631.637390,-243.416061,-318.695282,-235.964630,-191.948257,-305.665131,-332.001709,-276.622253,-282.298309,-600.462402,-386.412079,-303.024384,-253.981918,-404.291046,-313.264832,-428.828705,-437.593018
