Format Version,1.23,Take Name,Take 2024-07-20 04.46.47 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-07-20 04.46.47.707 PM,Capture Start Frame,28745746,Total Frames in Take,6857,Total Exported Frames,6857,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.050000,-321.067963,-771.574524,-136.951889,-292.574036,-735.627136,-223.776245,-340.577179,-363.974091,-124.128250,-293.020844,-608.269592,-242.065643,-316.653198,-306.878906,-200.194443,-302.153900,-376.261993,-306.051788,-284.829681,-603.542297,-388.485260,-302.415436,-255.518051,-394.991058,-315.036682,-430.140778,-433.150055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.058000,-321.136810,-771.431396,-137.102066,-292.811432,-735.246277,-223.840668,-340.562469,-364.143860,-124.219429,-293.166779,-608.002502,-242.889465,-316.372192,-307.709564,-200.762527,-302.130463,-376.932220,-306.745453,-285.085419,-604.172668,-389.369324,-302.398468,-256.112000,-395.550507,-315.151947,-430.711884,-433.893188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.067000,-321.268768,-771.193848,-137.219177,-293.054138,-734.789734,-223.907318,-340.465027,-364.286713,-124.348145,-293.369659,-607.712891,-243.769913,-316.103821,-308.582458,-201.349228,-302.109070,-377.772919,-307.548309,-285.387878,-604.947205,-390.241699,-302.368011,-256.808380,-396.208832,-315.328094,-431.309387,-434.689270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.075000,-321.350281,-771.024414,-137.309555,-293.210510,-734.438354,-224.009735,-340.454620,-364.358643,-124.536346,-293.499695,-607.481995,-244.627762,-316.049011,-309.396820,-202.065781,-302.123169,-378.615509,-308.251160,-285.601471,-605.711243,-391.119995,-302.298279,-257.567932,-396.904602,-315.432587,-432.091766,-435.378204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.083000,-321.445038,-770.932556,-137.416870,-293.466461,-734.143311,-224.097595,-340.477264,-364.056976,-124.694351,-293.682800,-607.306152,-245.378906,-315.978668,-310.150421,-203.023010,-302.073822,-379.355408,-309.072998,-285.790283,-606.482483,-391.943573,-302.125519,-258.350739,-397.732788,-315.497070,-432.912964,-436.204102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.092000,-321.544281,-770.797119,-137.563965,-293.690735,-733.856628,-224.186676,-340.283844,-363.062500,-124.860832,-293.842072,-607.076599,-246.258316,-315.828888,-310.544647,-204.078613,-301.974548,-380.146820,-310.076965,-285.876709,-607.242126,-392.863556,-302.187927,-259.091827,-398.669708,-315.580597,-433.587952,-437.187836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.100000,-321.592468,-770.640747,-137.724838,-293.745087,-733.638611,-224.317947,-340.147675,-361.365601,-125.054535,-293.784058,-607.048523,-247.126480,-315.534424,-310.596283,-205.532104,-301.871979,-381.007690,-311.069977,-285.931000,-608.011292,-393.671875,-302.196045,-259.852234,-399.660614,-315.605743,-434.454254,-438.039307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.108000,-321.577545,-770.594116,-137.856201,-293.692169,-733.416260,-224.390945,-339.906860,-358.577087,-125.345779,-293.734039,-606.895630,-247.829208,-315.228943,-310.128265,-207.171204,-301.799347,-381.723877,-312.084198,-285.849823,-608.760254,-394.356964,-302.198578,-260.606567,-400.696533,-315.538116,-435.164948,-438.969360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.117000,-321.535614,-770.508911,-138.021423,-293.650665,-733.029846,-224.487152,-339.888794,-354.710663,-125.555573,-293.686768,-606.650696,-248.502411,-315.054199,-309.166901,-209.167694,-301.820007,-382.385406,-312.995850,-285.694672,-609.512878,-395.060120,-302.106110,-261.299133,-401.676147,-315.486450,-435.893036,-439.719055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.125000,-321.530914,-770.401855,-138.140732,-293.666046,-732.540894,-224.451096,-339.944733,-349.194275,-126.089394,-293.598816,-606.271118,-249.177734,-315.044525,-307.589203,-211.576096,-301.730103,-383.041718,-313.996887,-285.464996,-610.314209,-395.723145,-302.140198,-261.957489,-402.683838,-315.283722,-436.811005,-440.608185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
