Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-308.413330,-700.572021,-138.824814,-331.140442,-358.309052,-174.577499,-278.336334,-710.521851,-231.823532,-278.574463,-601.069641,-299.212769,-306.166748,-318.089203,-260.518372,-290.860962,-400.701050,-357.849396,-269.088593,-640.616089,-440.027374,-291.603241,-293.350098,-463.289124,-301.452057,-469.635345,-493.554565
1,0.008000,-308.507111,-700.660278,-140.065765,-331.785675,-361.022522,-176.131088,-278.426117,-710.513000,-232.794540,-278.505402,-601.124634,-300.620117,-306.506073,-320.512451,-262.024475,-291.033386,-402.342926,-359.928986,-268.669464,-641.490601,-441.197327,-291.911530,-294.256531,-464.446167,-301.238251,-470.635315,-494.799713
2,0.017000,-308.743439,-701.188171,-141.423782,-332.243622,-363.675232,-177.860916,-278.415741,-710.770935,-234.132339,-278.544220,-601.438171,-302.027374,-307.022980,-322.768738,-263.515869,-291.103394,-403.971558,-361.930756,-268.272461,-642.274048,-442.392181,-292.189819,-295.063049,-465.539917,-301.071442,-471.552765,-496.010834
3,0.025000,-308.926361,-702.358398,-142.889725,-333.082397,-365.786713,-179.408371,-278.489838,-711.375732,-235.623459,-278.687866,-601.936462,-303.205414,-307.689392,-324.745972,-264.801788,-291.532867,-405.478607,-363.593140,-268.035004,-642.997131,-443.472168,-292.450745,-295.863678,-466.553925,-300.967041,-472.320343,-497.001556
4,0.033000,-309.134552,-704.101807,-144.493973,-333.788361,-367.823822,-181.097961,-278.538300,-712.352600,-237.175552,-278.839203,-602.537231,-304.291565,-308.239227,-326.494354,-266.380463,-291.725555,-406.820282,-365.352142,-267.916992,-643.839111,-444.491730,-292.527649,-296.705139,-467.626678,-300.878143,-473.142792,-498.154083
5,0.042000,-309.525024,-706.215515,-146.211243,-334.653229,-369.611755,-182.661575,-278.784637,-713.703674,-238.949738,-279.093079,-603.390381,-305.221497,-308.943604,-327.929352,-267.779907,-291.898102,-408.101318,-366.847260,-267.885803,-644.611816,-445.444244,-292.709717,-297.489685,-468.575256,-300.813110,-474.064758,-499.191223
6,0.050000,-309.979553,-708.972534,-148.095093,-335.540802,-371.122955,-184.045746,-279.204926,-715.398193,-240.856491,-279.389557,-604.529968,-306.064545,-309.620361,-329.209869,-269.087646,-292.211945,-409.036011,-368.306030,-267.931000,-645.336609,-446.382751,-292.824371,-298.221313,-469.699402,-300.804596,-474.690338,-500.265778
7,0.058000,-310.594330,-712.164673,-149.960983,-336.224243,-372.337280,-185.341812,-279.743866,-717.270935,-242.732178,-279.697937,-605.673279,-306.793457,-310.107574,-330.309326,-270.152374,-292.420746,-409.882843,-369.617706,-268.048279,-645.945374,-447.200958,-292.888733,-298.842743,-470.692291,-300.856964,-475.315308,-501.152985
8,0.067000,-311.158295,-715.687866,-152.015442,-336.549469,-373.343933,-186.561539,-280.203857,-719.518616,-244.831604,-280.053436,-607.147827,-307.318756,-310.428528,-331.038239,-271.229126,-292.813293,-410.601257,-370.599457,-268.238708,-646.499329,-447.967377,-292.927551,-299.379730,-471.752075,-300.970367,-476.042847,-502.047058
9,0.075000,-311.600250,-719.484863,-154.029358,-336.699860,-374.158508,-187.586060,-280.641418,-721.887268,-246.966797,-280.344879,-608.610779,-307.706940,-310.495819,-331.780426,-272.257751,-292.663818,-411.224823,-371.809418,-268.447174,-647.000671,-448.620453,-293.074463,-299.840210,-472.699707,-301.148438,-476.309448,-502.825623
