Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
17,0.142000,-274.921631,-643.902283,-306.748138,-305.899139,-346.757263,-243.660141,-271.792633,-762.716919,-258.683014,-291.174377,-395.873138,-361.565582,-266.812317,-650.579956,-453.145813,-290.148163,-303.860291,-479.554840,-327.735565,-414.625427,-176.252945,-302.665161,-733.913269,-170.200439,-298.890228,-480.475433,-508.581696,,,,,,,,,,,,
18,0.150000,-275.498169,-647.776306,-307.689514,-305.038910,-344.876740,-246.634827,-271.183258,-768.838257,-265.190765,-291.168213,-395.240570,-364.091797,-268.460846,-650.246948,-454.253021,-290.668121,-303.589355,-482.561646,-326.582672,-412.475861,-178.936020,-302.355896,-745.358337,-174.696533,-300.167969,-480.346954,-510.470795,,,,,,,,,,,,
19,0.158000,-276.195831,-651.611206,-308.618591,-304.064667,-343.258789,-249.321793,-272.130310,-774.845337,-271.776672,-291.046844,-394.344757,-366.552856,-269.924927,-649.867126,-455.199921,-291.224915,-303.244446,-485.239624,-325.360626,-410.671844,-181.424179,-302.556519,-756.918030,-179.777908,-301.451782,-480.159027,-512.223145,,,,,,,,,,,,
20,0.167000,-277.186157,-655.590698,-309.541718,-302.990997,-341.924316,-251.807068,-274.439941,-779.883972,-278.841370,-291.112335,-393.814178,-368.754852,-271.527985,-649.320618,-455.977936,-291.846680,-302.656067,-487.358093,-323.903687,-409.329529,-183.856781,-302.636047,-768.900269,-185.597260,-302.700836,-479.883179,-513.462036,,,,,,,,,,,,
21,0.175000,-278.178894,-659.530334,-310.556702,-302.228455,-340.753296,-253.895432,-275.719910,-785.171753,-285.919830,-291.246155,-393.492004,-370.623932,-273.092499,-648.995911,-456.790649,-292.392365,-302.343353,-489.262329,-323.302094,-408.262787,-185.859787,-303.386536,-780.014526,-192.066666,-303.922516,-479.468506,-514.724731,,,,,,,,,,,,
22,0.183000,-279.352753,-663.504272,-311.830261,-301.742859,-339.904480,-255.581909,-277.128235,-790.216125,-293.047058,-291.473419,-393.225800,-372.153107,-274.766083,-648.635925,-457.562775,-293.096069,-302.089813,-490.825409,-322.790222,-407.398010,-187.659271,-304.284546,-790.881958,-198.989197,-305.232422,-479.132294,-515.869019,,,,,,,,,,,,
23,0.192000,-280.689453,-667.642639,-313.157684,-301.720703,-339.258820,-256.859589,-278.504791,-795.048645,-300.475769,-292.041107,-393.053833,-373.231049,-276.487457,-648.364136,-458.440186,-293.678619,-301.802216,-491.784363,-322.725739,-406.918427,-189.105606,-305.098083,-801.660217,-206.438614,-306.578857,-478.638519,-516.640015,,,,,,,,,,,,
24,0.200000,-281.887329,-671.740234,-314.722565,-301.949646,-338.918579,-257.835632,-280.012360,-799.589050,-307.995361,-292.692657,-393.167480,-373.989594,-278.151428,-648.176636,-459.345917,-294.279266,-301.692596,-492.213867,-323.075745,-407.059753,-190.493759,-306.181274,-811.957031,-214.472366,-307.769684,-478.389465,-517.363220,,,,,,,,,,,,
25,0.208000,-283.224976,-675.740845,-316.452637,-302.677429,-338.902161,-258.341705,-281.626862,-803.788940,-315.417542,-293.645386,-393.406494,-374.309540,-279.642090,-648.120300,-460.312164,-294.994507,-301.645325,-492.509979,-323.969818,-407.570953,-191.446365,-307.557251,-821.582031,-222.712936,-308.946564,-478.160004,-517.833862,,,,,,,,,,,,
26,0.217000,-284.610779,-679.750244,-318.098175,-303.651520,-339.267090,-258.387970,-283.230621,-807.714050,-322.871155,-294.754974,-393.476959,-374.424622,-281.024811,-648.018616,-461.145325,-295.804108,-301.371155,-492.323425,-325.288422,-408.381714,-192.125732,-310.028137,-830.802490,-230.747086,-310.003754,-477.761841,-518.152893,,,,,,,,,,,,
27,0.225000,-285.965881,-683.569275,-319.809692,-305.224152,-339.731812,-258.158905,-284.835236,-811.192627,-330.315918,-295.834229,-393.768127,-374.489136,-282.276550,-647.881775,-461.898895,-296.772522,-301.167145,-491.968689,-326.920441,-409.508728,-192.587097,-311.559692,-839.624390,-239.859894,-311.135803,-477.340973,-518.331665,,,,,,,,,,,,
28,0.233000,-287.178497,-687.166809,-321.325104,-307.032440,-340.641663,-257.714417,-286.309052,-814.186218,-337.501068,-297.190308,-394.215393,-374.324860,-283.438934,-647.686401,-462.306671,-297.718140,-300.921478,-491.228271,-328.743652,-410.894379,-192.772415,-312.948425,-847.869934,-248.762848,-312.188812,-476.893890,-518.205017,,,,,,,,,,,,
29,0.242000,-288.537598,-690.609802,-322.485443,-308.911224,-341.944000,-257.232391,-287.526947,-816.816040,-344.381927,-298.822388,-394.711609,-374.073334,-284.455566,-647.436768,-462.534454,-298.905609,-300.491913,-490.252991,-330.934479,-412.760986,-192.953918,-313.843384,-855.694519,-258.071777,-313.154175,-476.550751,-517.928833,,,,,,,,,,,,
30,0.250000,-289.892609,-693.694092,-323.478821,-311.128204,-343.475494,-256.661469,-288.553009,-819.013428,-350.772186,-300.379486,-395.362610,-373.865082,-285.394165,-647.147339,-462.338287,-300.168091,-300.050018,-489.194550,-333.248291,-414.689850,-192.930389,-314.834290,-863.127441,-267.002106,-314.122131,-476.139374,-517.377319,,,,,,,,,,,,
31,0.258000,-291.249451,-696.621643,-324.006561,-313.503296,-345.182678,-256.198883,-289.245117,-820.648865,-356.713531,-302.099731,-396.183075,-373.740784,-286.329987,-646.780762,-461.789398,-301.402344,-299.638458,-488.090240,-335.938629,-416.886047,-193.100739,-315.490814,-870.106262,-275.929199,-314.976532,-475.694885,-516.678833,,,,,,,,,,,,
32,0.267000,-292.592957,-699.329895,-324.241669,-316.429382,-347.065582,-255.623642,-289.841705,-822.025085,-362.149384,-303.948822,-397.085205,-373.714600,-287.065155,-646.272461,-460.895721,-302.858856,-299.131531,-486.880859,-338.645294,-419.270874,-193.358994,-316.309601,-876.171692,-284.440857,-315.831329,-475.148895,-515.751892,,,,,,,,,,,,
33,0.275000,-293.688019,-701.906616,-324.361572,-319.015106,-349.194519,-255.380814,-290.636414,-822.795349,-367.007355,-305.878326,-397.848755,-373.885040,-287.660187,-645.711304,-459.754364,-304.364777,-298.654602,-485.819366,-341.512695,-421.819580,-193.644882,-316.597290,-881.768982,-293.221497,-316.587921,-474.739807,-514.697876,,,,,,,,,,,,
34,0.283000,-294.596954,-704.144531,-324.206818,-321.961243,-351.137512,-255.360596,-291.162109,-823.398315,-371.585297,-307.692627,-398.755890,-374.123749,-288.118591,-645.154907,-458.358551,-305.783936,-298.125732,-484.815155,-344.267334,-424.150452,-193.877228,-316.875854,-886.705322,-301.382385,-317.345612,-474.275665,-513.637207,,,,,,,,,,,,
35,0.292000,-295.332581,-706.262390,-323.938843,-324.819183,-353.224335,-255.247955,-291.401550,-823.632629,-375.652161,-309.314514,-399.734894,-374.475464,-288.563995,-644.566406,-456.880951,-307.164490,-297.709595,-483.915100,-347.646942,-426.288910,-193.937637,-317.062927,-890.711426,-309.110046,-317.978424,-473.983246,-512.452148,,,,,,,,,,,,
36,0.300000,-296.111176,-707.968506,-323.338562,-327.425018,-355.464172,-255.161255,-291.333191,-823.561584,-379.092926,-311.210754,-400.613098,-374.678467,-289.069000,-644.171082,-455.226227,-308.499084,-297.329590,-482.956055,-350.376312,-428.570374,-194.084106,-316.917847,-894.309143,-316.080780,-318.542542,-473.725952,-511.295441,,,,,,,,,,,,
37,0.308000,-296.706848,-709.229309,-322.786865,-329.665771,-357.612549,-255.031769,-291.093781,-823.297180,-381.787811,-312.613159,-401.670563,-374.937714,-289.504150,-643.859802,-453.716919,-309.647919,-297.118073,-482.031860,-352.829285,-430.772797,-193.986969,-316.310425,-897.142944,-322.562164,-319.262787,-473.616638,-510.068481,,,,,,,,,,,,
38,0.317000,-297.297302,-710.553589,-321.742279,-331.517822,-359.678925,-254.846542,-290.893799,-822.817139,-383.739960,-313.777283,-402.724243,-375.009491,-289.966309,-643.758728,-452.150787,-310.537720,-297.063660,-481.064423,-354.863708,-432.687439,-193.734802,-315.433838,-899.473083,-327.901733,-319.764496,-473.604645,-508.871429,,,,,,,,,,,,
39,0.325000,-297.722107,-711.381470,-320.767334,-332.787598,-361.606842,-254.800476,-290.250488,-822.486389,-385.198090,-314.792877,-403.952759,-375.002289,-290.373138,-643.826904,-450.813538,-311.450226,-297.121765,-479.952881,-356.098083,-434.819702,-193.848297,-314.813507,-901.024719,-332.037994,-320.266998,-473.811218,-507.687805,,,,,,,,,,,,
40,0.333000,-298.129639,-712.118347,-319.860168,-333.535736,-363.519897,-254.560471,-290.144440,-822.054810,-386.066132,-315.393402,-405.283569,-375.070129,-290.730286,-644.073975,-449.564636,-312.086609,-297.380066,-478.883240,-357.023682,-436.815094,-193.748505,-314.616913,-902.354187,-334.999908,-320.811310,-474.009003,-506.529205,,,,,,,,,,,,
41,0.342000,-298.328278,-712.727417,-319.092712,-333.849854,-365.353638,-254.229187,-290.546814,-821.932678,-386.363403,-315.545288,-406.755035,-374.946930,-291.081787,-644.576660,-448.690430,-312.570953,-297.746399,-477.696167,-357.139069,-438.779388,-193.546021,-314.563843,-903.169128,-336.566284,-321.119659,-474.476868,-505.517609,,,,,,,,,,,,
42,0.350000,-298.588196,-713.214233,-318.235840,-333.673889,-367.126160,-253.792526,-291.414368,-822.197815,-385.702911,-315.551422,-408.071747,-374.561920,-291.348907,-645.129883,-447.910522,-312.751434,-298.205719,-476.443359,-357.056061,-440.522034,-193.177231,-314.853210,-903.920105,-336.718170,-321.445312,-475.014923,-504.475586,,,,,,,,,,,,
