Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
626,5.217000,-294.825928,-710.430908,-323.111542,-327.811615,-357.570526,-254.291916,-289.063141,-823.182678,-384.451233,-310.971161,-401.008728,-374.442841,-288.172699,-643.121826,-453.224518,-308.315033,-296.334534,-481.502838,-350.602997,-431.149567,-193.632156,-313.667908,-898.271790,-326.606415,-317.949310,-472.824310,-509.587769,,,,,,,,,,,,
627,5.225000,-295.268158,-711.359497,-322.206177,-329.473572,-359.006104,-254.263824,-288.686310,-822.438660,-386.442017,-312.145691,-401.983551,-374.390289,-288.504913,-643.071960,-451.833984,-309.260345,-296.319733,-480.492493,-352.558228,-432.395782,-193.502853,-313.079529,-900.177002,-331.834900,-318.488800,-472.803131,-508.325928,,,,,,,,,,,,
628,5.233000,-295.741119,-712.083374,-321.184998,-330.817444,-360.283813,-254.072281,-288.520233,-821.738159,-387.490814,-312.886658,-403.219971,-374.456146,-288.829987,-643.172974,-450.423309,-310.005157,-296.432587,-479.478760,-353.884399,-433.843689,-193.519516,-312.480286,-901.501038,-335.946991,-318.984283,-472.942444,-507.208954,,,,,,,,,,,,
629,5.242000,-296.100800,-712.628418,-320.216583,-331.361786,-361.636597,-253.937180,-288.295502,-821.389221,-388.228607,-313.479950,-404.344574,-374.321777,-289.119202,-643.404419,-449.305023,-310.634247,-296.679138,-478.450073,-354.561493,-435.097565,-193.237396,-312.274353,-902.579468,-338.559113,-319.406403,-473.408020,-506.073639,,,,,,,,,,,,
630,5.250000,-296.254700,-713.249084,-319.282898,-331.784058,-362.980377,-253.733658,-288.465790,-821.419434,-388.336853,-313.754517,-405.539795,-373.959747,-289.366913,-643.866638,-448.358826,-311.015045,-297.041046,-477.245361,-354.793640,-436.552246,-193.156311,-312.305298,-903.374878,-339.754852,-319.703003,-473.805695,-505.046539,,,,,,,,,,,,
631,5.258000,-296.318115,-713.712341,-318.523010,-331.748077,-364.161041,-253.176086,-289.173920,-821.737671,-387.610168,-313.720062,-406.967987,-373.433197,-289.637146,-644.513489,-447.586548,-311.160828,-297.607666,-475.981964,-354.765289,-437.726990,-192.642639,-312.740448,-903.979797,-339.462830,-319.843201,-474.402374,-504.101166,,,,,,,,,,,,
632,5.267000,-296.627716,-713.971863,-317.613556,-331.057007,-365.670563,-252.523041,-289.846313,-822.257019,-386.271759,-313.464111,-408.234253,-372.969116,-289.953522,-645.298035,-447.045135,-311.058502,-298.407776,-474.692566,-353.958527,-439.217010,-191.986862,-313.394257,-904.426575,-337.969971,-320.071655,-475.107910,-503.097290,,,,,,,,,,,,
633,5.275000,-296.753235,-713.960510,-316.745758,-329.984955,-367.125763,-251.851761,-290.529877,-822.953979,-384.645508,-312.975739,-409.787689,-372.225403,-290.167725,-646.264221,-446.649780,-310.782135,-299.143768,-473.337708,-352.941498,-440.611267,-191.203125,-314.282593,-904.510620,-335.482300,-320.196747,-475.710876,-502.164795,,,,,,,,,,,,
634,5.283000,-296.946594,-713.642151,-315.732971,-328.598633,-368.607544,-250.916000,-290.701202,-823.600098,-382.894806,-312.107605,-411.209473,-371.415863,-290.451691,-647.397583,-446.345947,-310.222565,-300.084259,-471.913727,-351.562775,-442.090942,-190.265228,-315.211212,-904.392334,-332.075409,-320.257538,-476.478729,-501.234161,,,,,,,,,,,,
635,5.292000,-297.161255,-713.115234,-314.658142,-326.920441,-370.278229,-249.971176,-292.509491,-823.661865,-379.427155,-311.144684,-412.561554,-370.537048,-290.670624,-648.277527,-446.092255,-309.549408,-301.014587,-470.414673,-350.002838,-443.737305,-189.330307,-316.215668,-903.748291,-327.984100,-320.198273,-477.202881,-500.271149,,,,,,,,,,,,
636,5.300000,-297.218506,-712.154236,-313.493225,-325.181793,-371.920715,-249.009293,-292.470764,-824.315979,-376.945679,-310.191772,-413.981537,-369.726288,-290.902466,-649.329102,-445.785431,-308.802032,-301.734589,-468.930481,-347.831146,-445.461395,-188.426987,-317.151794,-902.805908,-323.159607,-320.001312,-477.900940,-499.358490,,,,,,,,,,,,
637,5.308000,-297.056091,-710.907837,-312.468964,-323.508331,-373.481812,-247.903625,-292.766693,-824.455444,-373.485565,-309.059174,-415.290192,-369.025421,-290.857147,-650.129089,-445.473419,-307.909454,-302.444244,-467.509857,-346.078247,-447.182739,-187.560547,-317.819702,-901.400818,-317.617737,-319.819794,-478.456482,-498.341797,,,,,,,,,,,,
638,5.317000,-296.846954,-709.789856,-311.121552,-321.863098,-374.987305,-246.959229,-293.838287,-824.396240,-369.208374,-308.007965,-416.272278,-368.272614,-290.792847,-650.677429,-445.092804,-306.977356,-302.854828,-466.100647,-344.527924,-448.872040,-186.819305,-318.518036,-899.603516,-311.497131,-319.488953,-478.801086,-497.400299,,,,,,,,,,,,
639,5.325000,-296.315796,-708.305359,-309.761292,-319.976776,-376.585205,-246.055801,-293.683350,-824.099243,-365.384033,-306.999268,-417.125153,-367.655731,-290.605133,-650.936279,-444.556549,-306.097992,-303.087311,-464.749390,-342.605011,-450.525482,-186.076172,-318.922607,-897.468628,-305.060699,-319.107300,-478.979309,-496.407745,,,,,,,,,,,,
640,5.333000,-295.705658,-706.326538,-308.213501,-318.183838,-377.944611,-245.261856,-293.669891,-823.470703,-361.065765,-305.804077,-417.677429,-367.225281,-290.304321,-650.963196,-443.981049,-305.213531,-303.056610,-463.504456,-340.818115,-452.025665,-185.350861,-319.151642,-894.668091,-298.519653,-318.674591,-478.927460,-495.346466,,,,,,,,,,,,
641,5.342000,-294.958252,-703.997803,-306.508545,-316.544739,-379.068909,-244.355362,-293.226898,-822.245056,-356.713074,-304.551605,-418.129547,-366.660065,-289.871338,-650.823914,-443.074554,-304.337738,-302.842010,-462.278595,-339.004608,-453.287811,-184.513168,-318.337830,-891.658875,-292.081970,-318.234985,-478.696655,-494.215698,,,,,,,,,,,,
642,5.350000,-294.089630,-701.344543,-304.601196,-314.871460,-379.967499,-243.247467,-292.659973,-820.683044,-352.151550,-303.563934,-417.935028,-365.914032,-289.398529,-650.391052,-441.954041,-303.374420,-302.281921,-461.056396,-337.203491,-454.223785,-183.433670,-317.810211,-888.036560,-285.525146,-317.613281,-478.102753,-492.977356,,,,,,,,,,,,
643,5.358000,-293.107239,-698.490051,-302.485321,-313.113037,-380.600525,-242.088455,-292.194458,-818.725647,-347.413116,-302.384125,-417.559875,-365.061646,-288.805664,-649.657227,-440.665192,-302.386200,-301.656555,-459.905182,-335.376678,-454.984589,-182.424103,-317.020050,-884.130615,-278.686340,-317.028870,-477.407959,-491.591797,,,,,,,,,,,,
644,5.367000,-292.022095,-695.398987,-300.275146,-311.576416,-380.680725,-240.584229,-290.745514,-816.611572,-342.705383,-301.218231,-416.643433,-363.946350,-288.069611,-648.654175,-439.211365,-301.488647,-300.662018,-458.598785,-333.639801,-455.134460,-180.989914,-315.759216,-879.845093,-272.025665,-316.289124,-476.499084,-490.153381,,,,,,,,,,,,
645,5.375000,-290.793030,-692.203369,-298.098083,-310.033478,-380.304260,-238.955063,-289.644043,-814.262695,-337.783295,-300.088135,-415.470337,-362.526978,-287.252441,-647.481873,-437.636688,-300.539124,-299.539764,-457.197723,-332.047180,-454.698853,-179.243439,-314.713837,-875.282043,-265.155853,-315.525116,-475.417572,-488.526581,,,,,,,,,,,,
646,5.383000,-289.657532,-688.853149,-295.773529,-308.669983,-379.292236,-237.175461,-288.553558,-811.690613,-332.717163,-298.930084,-414.055267,-360.854767,-286.235748,-646.152710,-435.948120,-299.533875,-298.056915,-455.584167,-330.635895,-453.684540,-177.363312,-313.470856,-870.449707,-258.222382,-314.578369,-474.023834,-486.987335,,,,,,,,,,,,
647,5.392000,-288.470673,-685.340820,-293.386383,-307.392609,-377.757446,-235.149811,-287.698975,-808.968445,-327.547424,-297.816193,-412.405792,-358.947174,-285.215912,-644.502502,-434.107208,-298.582245,-296.411407,-453.665161,-329.280640,-452.160919,-175.375946,-312.339844,-865.221008,-251.263763,-313.628754,-472.425934,-485.061554,,,,,,,,,,,,
648,5.400000,-287.382233,-681.808533,-290.890045,-306.252350,-375.775208,-232.970932,-286.433899,-806.079468,-322.425049,-296.797485,-410.515686,-356.745270,-284.134033,-642.602173,-432.125793,-297.636322,-294.596313,-451.603729,-327.943878,-450.129303,-173.089035,-311.093170,-859.855042,-244.348495,-312.695007,-470.641663,-483.051178,,,,,,,,,,,,
649,5.408000,-286.222565,-678.115051,-288.316742,-305.129608,-373.491272,-230.599670,-285.059998,-803.191162,-317.429596,-295.711304,-408.316406,-354.362244,-282.893799,-640.625183,-429.974976,-296.703644,-292.638763,-449.367798,-326.610565,-447.855072,-170.698593,-309.992065,-854.462219,-237.396576,-311.653564,-468.547729,-480.800568,,,,,,,,,,,,
650,5.417000,-285.115204,-674.410828,-285.587311,-304.046753,-370.920471,-228.013565,-283.804565,-799.923157,-312.130981,-294.721649,-405.992279,-351.692383,-281.608917,-638.355164,-427.612610,-295.891357,-290.341980,-446.860687,-325.548187,-445.253418,-168.019852,-309.011322,-848.871704,-230.636597,-310.603912,-466.327148,-478.334961,,,,,,,,,,,,
651,5.425000,-284.028961,-670.402039,-282.731140,-303.206726,-368.194763,-225.232727,-282.480835,-796.383301,-306.841827,-293.731537,-403.392181,-348.914124,-280.306091,-635.895508,-425.122864,-295.167725,-287.871338,-444.212921,-324.598297,-442.447296,-165.203201,-307.652191,-843.154236,-224.337082,-309.446991,-463.937286,-475.916168,,,,,,,,,,,,
652,5.433000,-282.903473,-666.144226,-279.694916,-302.634918,-365.184540,-222.415314,-281.085754,-792.491577,-301.786865,-292.978546,-400.633331,-345.962952,-278.997223,-633.111816,-422.346191,-294.460754,-285.220062,-441.503723,-323.966644,-439.519257,-162.337738,-306.474304,-837.562500,-218.280121,-308.428802,-461.215057,-473.169800,,,,,,,,,,,,
653,5.442000,-281.667603,-661.840515,-276.573456,-302.346161,-362.088898,-219.496979,-279.504272,-788.476868,-296.781586,-292.299622,-397.539856,-342.969421,-277.473541,-630.237427,-419.556213,-293.938782,-282.256775,-438.689606,-323.623840,-436.343018,-159.365463,-305.002808,-831.856812,-212.612198,-307.296143,-458.366150,-470.442719,,,,,,,,,,,,
654,5.450000,-280.434570,-657.369080,-273.307892,-302.356598,-358.806763,-216.552872,-277.871887,-784.338623,-291.873047,-291.824524,-394.425049,-339.955353,-275.907043,-627.153198,-416.596313,-293.505127,-279.233582,-435.826965,-323.612030,-433.061920,-156.440689,-303.406342,-826.315735,-207.021423,-306.198730,-455.248749,-467.526703,,,,,,,,,,,,
655,5.458000,-279.193207,-652.913757,-269.979065,-302.626373,-355.312744,-213.649979,-276.106598,-780.015320,-286.968414,-291.352722,-391.084534,-336.976532,-274.441162,-623.933594,-413.527161,-293.139374,-276.060211,-432.986786,-323.737793,-429.623901,-153.468262,-301.788147,-820.827820,-201.631256,-305.138611,-452.230255,-464.588959,,,,,,,,,,,,
656,5.467000,-278.014862,-648.333069,-266.556915,-303.024048,-351.769073,-210.624771,-274.228668,-775.564514,-282.220184,-291.296478,-387.612152,-333.787628,-272.919312,-620.453247,-410.278564,-292.892029,-272.734497,-430.131287,-323.812012,-426.148102,-150.433914,-300.110748,-815.404114,-196.432968,-304.193451,-449.064148,-461.645386,,,,,,,,,,,,
657,5.475000,-276.940277,-643.741943,-263.061218,-303.653717,-348.013947,-207.629211,-272.319580,-771.093079,-277.617706,-291.044739,-384.088074,-330.765808,-271.514893,-616.985962,-407.050446,-292.748657,-269.325226,-427.271149,-323.715668,-422.711853,-147.609741,-298.157806,-810.002869,-191.502243,-303.218323,-445.618652,-458.683777,,,,,,,,,,,,
658,5.483000,-275.850525,-639.168884,-259.617462,-304.053619,-344.311249,-204.726532,-270.557739,-766.630005,-273.031860,-290.902161,-380.589691,-327.718719,-270.066498,-613.384827,-403.813843,-292.663269,-265.924103,-424.447357,-324.939789,-418.723114,-144.409485,-296.613281,-804.729004,-186.547470,-302.345947,-442.346222,-455.602478,,,,,,,,,,,,
659,5.492000,-274.809875,-634.606018,-256.247070,-304.583282,-340.414520,-201.675858,-269.002441,-762.232300,-268.513947,-290.803955,-377.023865,-324.646515,-268.756866,-610.007446,-400.582001,-292.591736,-262.574646,-421.529694,-325.476562,-414.695923,-141.217178,-295.090057,-799.544678,-181.773727,-301.457642,-438.991852,-452.632263,,,,,,,,,,,,
660,5.500000,-273.903900,-630.325745,-252.977371,-305.021301,-336.571869,-198.657486,-267.547363,-757.926208,-264.096649,-290.794647,-373.511230,-321.397644,-267.565826,-606.440125,-397.402771,-292.517578,-259.245575,-418.642639,-325.846832,-410.780792,-138.167084,-293.803986,-794.519104,-176.976334,-300.770630,-435.656097,-449.666168,,,,,,,,,,,,
661,5.508000,-273.152405,-626.029114,-249.842651,-305.547333,-332.723907,-195.505768,-266.355988,-753.679810,-259.757629,-290.798553,-369.841431,-318.113708,-266.486542,-603.221191,-394.410492,-292.417419,-255.977814,-415.746094,-326.295135,-406.856018,-135.016205,-292.720581,-789.288391,-172.347809,-300.155884,-432.445953,-446.761475,,,,,,,,,,,,
662,5.517000,-272.501007,-621.891968,-246.785721,-305.736084,-328.818634,-192.448532,-265.376862,-749.689453,-255.529129,-290.645447,-366.542511,-314.820312,-265.613342,-599.950684,-391.583832,-292.362000,-252.841629,-412.727875,-326.474121,-403.061127,-131.901199,-292.016144,-784.060059,-167.711823,-299.556824,-429.235748,-443.900146,,,,,,,,,,,,
663,5.525000,-271.822754,-617.938599,-244.010742,-305.909546,-325.002075,-189.295593,-264.693573,-745.833069,-251.461868,-290.542969,-363.354767,-311.432007,-264.816925,-596.977356,-388.900299,-292.177124,-249.847595,-409.695099,-326.340820,-399.317596,-128.760071,-290.825226,-778.726074,-163.557602,-299.108856,-426.266083,-441.067383,,,,,,,,,,,,
664,5.533000,-271.310577,-614.181030,-241.420349,-305.674835,-321.402618,-186.149582,-264.138916,-742.136719,-247.399307,-290.119629,-360.366943,-308.234802,-264.307190,-594.066101,-386.397217,-291.974182,-247.083450,-406.575073,-326.182190,-395.722198,-125.689163,-290.902893,-773.933960,-158.769119,-298.670624,-423.410400,-438.313171,,,,,,,,,,,,
665,5.542000,-270.957306,-610.562866,-238.883133,-305.482697,-317.500153,-183.246307,-263.805054,-738.609619,-243.540848,-289.671326,-357.636597,-305.081909,-263.949371,-591.451355,-384.032623,-291.796356,-244.308899,-403.415009,-325.991455,-393.207703,-124.533669,-290.800812,-769.021118,-154.199722,-298.390076,-420.754181,-435.518524,,,,,,,,,,,,
666,5.550000,-270.575928,-607.166260,-236.495316,-305.538849,-312.715729,-181.336411,-263.677948,-735.225159,-239.779099,-289.419556,-355.332520,-302.302887,-263.735748,-588.865173,-381.718628,-291.490845,-241.904266,-400.392761,-325.805603,-389.768585,-124.404068,-290.512512,-764.116943,-150.157379,-298.205048,-418.078552,-432.749908,,,,,,,,,,,,
667,5.558000,-270.314362,-603.829590,-234.015121,-305.767090,-308.420074,-179.580353,-263.718079,-731.922974,-236.089584,-289.710205,-353.091583,-299.418396,-263.619476,-586.523438,-379.344452,-291.253937,-239.297791,-397.309021,-325.883118,-386.590546,-124.155991,-290.129211,-759.433899,-146.530380,-298.090424,-415.498871,-430.129333,,,,,,,,,,,,
668,5.567000,-270.188873,-600.629028,-231.538803,-306.032898,-304.707764,-177.620895,-263.934479,-728.660583,-232.586838,-289.708221,-351.155914,-297.042816,-263.789490,-584.174316,-376.996460,-291.122742,-237.059143,-394.471680,-325.941223,-383.893463,-123.607338,-290.231140,-755.100281,-142.642548,-298.145782,-413.069550,-427.468109,,,,,,,,,,,,
669,5.575000,-270.273895,-597.523560,-228.987625,-305.900085,-301.374573,-176.371429,-264.157227,-725.567200,-229.247192,-289.690033,-349.556824,-294.962128,-264.051880,-581.963257,-374.510101,-291.107300,-234.678314,-391.744385,-326.023285,-381.134979,-123.245842,-290.411621,-751.148132,-138.957336,-298.368225,-410.807251,-424.842010,,,,,,,,,,,,
670,5.583000,-270.618469,-594.498596,-226.210510,-305.815948,-298.259094,-175.403122,-264.497437,-722.584839,-226.961746,-289.638245,-347.979370,-293.388245,-264.427612,-579.757019,-371.839600,-291.122070,-232.475800,-389.207581,-325.893677,-378.534607,-123.077583,-290.908600,-748.927368,-136.493057,-298.677338,-408.581421,-422.119171,,,,,,,,,,,,
671,5.592000,-271.044525,-591.828552,-223.659073,-305.782288,-295.340057,-174.418747,-264.768097,-719.921875,-226.870682,-289.867371,-346.566925,-291.894897,-264.888611,-577.565308,-369.301331,-291.158813,-231.200882,-387.762482,-325.939117,-376.114502,-122.811607,-290.961029,-746.868164,-136.937775,-298.999603,-406.435730,-419.657166,,,,,,,,,,,,
672,5.600000,-271.253113,-589.638062,-221.406021,-306.075256,-291.834564,-173.216934,-264.932495,-717.572937,-227.035858,-289.782593,-344.931396,-290.481171,-265.339142,-575.414124,-367.092255,-291.457092,-229.825653,-386.312958,-326.053040,-373.455963,-122.787712,-291.007538,-745.048584,-137.201538,-299.598969,-404.207031,-417.466766,,,,,,,,,,,,
673,5.608000,-271.182220,-587.899475,-219.523697,-306.655151,-287.749573,-171.437012,-264.989960,-715.816101,-226.295898,-290.115845,-342.367218,-287.767944,-265.904114,-573.460327,-365.200256,-291.932373,-227.969254,-384.382690,-326.151764,-370.439026,-122.562866,-291.348267,-743.267578,-136.254654,-300.260895,-402.342163,-415.457703,,,,,,,,,,,,
674,5.617000,-271.109222,-586.512390,-217.860352,-307.104126,-283.795868,-169.489807,-265.163483,-714.281799,-225.493912,-291.106903,-340.058929,-284.699585,-266.455353,-571.737244,-363.440186,-293.115906,-224.552765,-380.548920,-326.297821,-367.550690,-122.400055,-291.327087,-741.719971,-135.395630,-301.039642,-400.599152,-413.468048,,,,,,,,,,,,
675,5.625000,-271.439819,-585.087891,-216.175369,-307.374268,-280.257416,-167.552338,-265.429932,-712.775879,-225.064987,-292.067261,-338.353210,-281.939209,-267.337280,-570.265076,-361.764130,-293.774261,-223.091492,-378.191010,-326.460968,-364.843658,-122.327843,-291.270355,-739.956543,-135.070511,-301.845520,-399.017303,-411.477112,,,,,,,,,,,,
676,5.633000,-272.388000,-583.554443,-214.648254,-307.679626,-276.795563,-166.056046,-265.988007,-711.169922,-224.767746,-292.708557,-336.751129,-279.204407,-268.306885,-568.878479,-360.170410,-294.352905,-221.756226,-375.781830,-326.726410,-362.136353,-122.158409,-291.714264,-738.316650,-134.683182,-302.816620,-397.507629,-409.378296,,,,,,,,,,,,
677,5.642000,-273.319580,-582.214294,-213.200394,-308.067444,-273.193390,-164.598755,-266.564423,-709.639160,-224.461105,-293.078918,-335.512726,-276.782104,-269.404541,-567.689270,-358.723572,-295.014130,-220.540543,-373.453430,-326.882935,-359.515778,-122.101540,-292.179871,-736.675354,-134.211197,-303.663605,-396.261566,-407.506897,,,,,,,,,,,,
678,5.650000,-274.009338,-580.983765,-211.823486,-308.222809,-270.158905,-163.383881,-267.295715,-708.173340,-224.115112,-293.984009,-334.529602,-274.370209,-270.519989,-566.783630,-357.335205,-295.567474,-219.630707,-371.180756,-327.129303,-357.108154,-122.054649,-292.218079,-734.934509,-134.114456,-304.564392,-395.232605,-405.700287,,,,,,,,,,,,
679,5.658000,-274.709595,-579.608765,-210.582169,-308.359924,-267.225281,-162.166306,-267.981262,-706.644043,-223.746368,-294.590576,-333.496887,-272.054077,-271.637909,-566.059326,-356.143311,-295.990082,-218.802673,-369.097870,-327.283447,-354.621399,-121.962372,-292.560699,-733.210754,-133.829788,-305.493195,-394.224030,-403.914764,,,,,,,,,,,,
680,5.667000,-275.301727,-578.079224,-209.514008,-308.460602,-264.219391,-160.939468,-268.617676,-704.984314,-223.569580,-294.956787,-332.191315,-269.774536,-272.842590,-565.355347,-355.119629,-296.265533,-218.162872,-367.448669,-327.012939,-352.162292,-122.158836,-292.739716,-731.582092,-133.619247,-306.404541,-393.399414,-402.602448,,,,,,,,,,,,
681,5.675000,-275.751373,-576.581787,-208.505630,-308.406006,-261.119110,-159.498322,-269.256714,-703.175659,-223.491806,-295.027802,-330.640503,-267.583710,-274.042542,-564.747559,-354.175171,-296.487061,-217.654221,-366.286621,-327.343628,-349.686493,-121.985023,-293.183838,-729.766602,-133.346359,-307.301147,-392.753632,-401.430389,,,,,,,,,,,,
682,5.683000,-276.092865,-574.899231,-207.535675,-308.214874,-258.324951,-158.226547,-269.976898,-701.493408,-223.424408,-295.372620,-329.060181,-265.348297,-275.102600,-564.255920,-353.226440,-296.849548,-217.103210,-365.299713,-327.416534,-347.319641,-121.926628,-293.268433,-728.097229,-133.349426,-308.252258,-392.190277,-400.352417,,,,,,,,,,,,
683,5.692000,-276.431488,-573.146484,-206.578568,-308.188354,-255.635941,-157.268295,-270.568878,-699.573853,-223.282150,-295.724884,-327.736267,-263.510986,-276.139954,-563.765015,-352.304535,-297.103973,-216.544327,-364.390869,-327.485504,-345.006683,-121.793961,-293.728027,-726.249878,-133.058868,-309.091675,-391.688751,-399.414673,,,,,,,,,,,,
684,5.700000,-277.213135,-571.118835,-205.492401,-308.381561,-253.246033,-156.756149,-271.120056,-697.397949,-222.975052,-296.011932,-326.986420,-262.080505,-277.103790,-563.384766,-351.335480,-297.525513,-216.104630,-363.419281,-327.569946,-342.873291,-121.777008,-293.835175,-724.380249,-132.961411,-309.895081,-391.200012,-398.362244,,,,,,,,,,,,
685,5.708000,-278.147003,-568.969604,-204.465454,-308.586792,-251.246475,-157.020966,-271.559021,-695.056091,-222.695068,-296.450287,-326.662506,-261.285126,-278.055603,-562.849426,-350.326874,-298.059296,-215.556366,-362.349823,-327.795135,-340.863770,-121.771805,-294.191162,-722.299316,-132.727600,-310.604462,-390.667755,-397.328613,,,,,,,,,,,,
686,5.717000,-278.985107,-566.826416,-203.521149,-308.863281,-249.800064,-157.423615,-272.067749,-692.736389,-222.444794,-297.016998,-326.542358,-260.776703,-278.726562,-562.390686,-349.496552,-298.575806,-215.053543,-361.383789,-327.994934,-339.110657,-121.782936,-294.495422,-720.397583,-132.636673,-311.196686,-390.106537,-396.411621,,,,,,,,,,,,
687,5.725000,-279.452972,-564.581787,-202.799072,-308.867340,-248.185562,-158.105927,-272.547211,-690.476746,-222.187012,-297.611328,-326.423279,-260.257141,-279.214264,-561.876404,-348.767883,-299.225494,-214.496048,-360.463257,-328.213104,-337.372314,-121.803459,-295.105530,-718.279602,-132.235474,-311.724060,-389.582153,-395.600647,,,,,,,,,,,,
688,5.733000,-279.786926,-562.448181,-202.417725,-309.381897,-246.675278,-158.475967,-272.767822,-688.229309,-221.955795,-297.940521,-326.132202,-259.759186,-279.461914,-561.340637,-348.307709,-299.696350,-213.971313,-359.824249,-328.318970,-335.555450,-121.744621,-295.048737,-716.178650,-132.276367,-312.145355,-389.185791,-395.029846,,,,,,,,,,,,
689,5.742000,-279.928619,-560.449463,-202.024323,-309.563782,-244.865601,-158.939224,-272.711090,-686.140808,-221.909363,-298.040527,-325.669220,-259.299164,-279.592163,-560.831177,-347.973602,-300.120697,-213.448090,-359.383240,-328.375183,-333.776855,-121.707741,-295.143036,-714.233521,-132.234650,-312.511017,-388.639923,-394.530823,,,,,,,,,,,,
690,5.750000,-279.972748,-558.437378,-201.721481,-309.789917,-243.309311,-159.293961,-272.763031,-684.097168,-221.757690,-298.151917,-325.087524,-258.919006,-279.686554,-560.394653,-347.639343,-300.454285,-213.001373,-359.160065,-328.431641,-332.036591,-121.660065,-295.079895,-712.441589,-132.142258,-312.746429,-388.238342,-394.263824,,,,,,,,,,,,
691,5.758000,-280.093719,-556.554016,-201.435730,-309.757660,-241.876358,-159.884384,-272.796967,-682.234070,-221.461990,-298.211792,-324.704254,-258.696655,-279.763916,-560.053345,-347.320984,-300.596619,-212.656677,-358.989075,-328.356354,-330.465149,-121.535881,-295.139221,-710.630249,-132.017303,-312.829498,-387.942230,-394.042053,,,,,,,,,,,,
692,5.767000,-280.239441,-554.845093,-201.189484,-309.878082,-240.694336,-160.668884,-272.911163,-680.404053,-221.300323,-298.334351,-324.439270,-258.602631,-279.830353,-559.710999,-346.930054,-300.609314,-212.403442,-358.898895,-328.349548,-328.909119,-121.433418,-295.264069,-708.797180,-131.812485,-312.778717,-387.619873,-393.919525,,,,,,,,,,,,
693,5.775000,-280.430298,-553.025452,-200.961716,-309.800232,-239.626099,-161.732849,-273.068115,-678.593994,-221.199921,-298.281891,-324.374786,-258.666473,-279.813843,-559.537842,-346.687500,-300.380585,-212.203674,-358.854156,-328.474365,-327.438507,-121.330002,-295.772491,-707.160889,-131.508804,-312.628235,-387.399872,-393.763397,,,,,,,,,,,,
694,5.783000,-280.487640,-551.443970,-201.011566,-309.706268,-238.588547,-162.695282,-273.164032,-676.982178,-221.035767,-298.019684,-324.445129,-258.786255,-279.740082,-559.471741,-346.566437,-300.035583,-212.103348,-358.833862,-328.634186,-325.600159,-121.412468,-295.857086,-705.378418,-131.446671,-312.384338,-387.324280,-393.718994,,,,,,,,,,,,
695,5.792000,-280.456665,-549.823242,-201.167862,-309.540436,-237.622238,-163.515152,-273.203949,-675.382141,-220.840195,-297.740784,-324.464417,-258.816376,-279.584900,-559.484253,-346.649658,-299.592072,-212.093414,-358.881836,-328.680573,-324.144348,-121.382027,-295.840515,-703.752563,-131.189117,-312.099030,-387.365387,-393.836639,,,,,,,,,,,,
696,5.800000,-280.144012,-548.385437,-201.605667,-309.220642,-236.635818,-164.478699,-273.121490,-674.061707,-220.926498,-297.307983,-324.369202,-258.805969,-279.227509,-559.603760,-346.959259,-299.011566,-212.185440,-359.062256,-328.395508,-322.625183,-121.353401,-295.884827,-701.902832,-131.182388,-311.729645,-387.378906,-394.035370,,,,,,,,,,,,
697,5.808000,-279.743103,-547.085754,-202.195618,-308.962341,-235.657486,-165.165909,-272.946716,-672.852417,-220.968246,-296.813232,-324.178833,-258.718658,-278.770966,-559.726746,-347.490631,-298.451233,-212.263062,-359.282074,-328.391785,-321.135040,-121.199165,-295.822235,-700.257690,-131.151413,-311.257538,-387.433716,-394.356049,,,,,,,,,,,,
698,5.817000,-279.344788,-545.900269,-202.875702,-308.701202,-234.504166,-165.933350,-272.760712,-671.845703,-220.916550,-296.429504,-323.925964,-258.619659,-278.299469,-559.830627,-348.026276,-297.902039,-212.345764,-359.595947,-328.217865,-319.592957,-121.196167,-295.405060,-698.651978,-131.197388,-310.800262,-387.483521,-394.790466,,,,,,,,,,,,
699,5.825000,-279.016357,-544.891235,-203.550629,-308.659943,-233.425064,-166.528763,-272.387573,-670.805420,-220.846634,-296.163513,-323.589844,-258.467499,-277.822662,-559.997925,-348.551422,-297.425476,-212.499405,-360.024200,-328.191437,-318.014099,-121.063057,-295.181030,-697.195557,-131.219574,-310.224091,-387.538849,-395.360077,,,,,,,,,,,,
700,5.833000,-278.701416,-543.935242,-204.321274,-308.517548,-232.171448,-167.192657,-272.231445,-669.954529,-220.782974,-295.907990,-323.118835,-258.323547,-277.289459,-560.121887,-349.144409,-296.936981,-212.745682,-360.603546,-328.102631,-316.439697,-121.055748,-295.130707,-695.681458,-130.919022,-309.682068,-387.685272,-395.971741,,,,,,,,,,,,
701,5.842000,-278.511963,-542.945068,-205.140213,-308.618652,-230.938141,-167.681686,-271.999298,-669.119568,-220.756424,-295.713745,-322.593964,-258.110596,-276.682495,-560.265808,-349.856964,-296.613831,-212.924881,-361.200775,-328.104034,-314.805023,-121.018471,-295.242096,-694.143616,-130.794662,-309.128632,-387.966827,-396.728790,,,,,,,,,,,,
