Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-299.511475,-752.868286,-134.212814,-273.770172,-740.659729,-227.495651,-333.175842,-269.694580,-118.952454,-279.514526,-612.736084,-225.329041,-313.243225,-192.011902,-175.103867,-300.822754,-300.136749,-245.148315,-278.400208,-580.436401,-368.014069,-299.400085,-233.742294,-379.027374,-310.541962,-408.046265,-415.508087
1,0.008000,-299.579712,-751.511902,-134.145920,-274.337006,-739.924194,-227.423218,-333.001251,-267.866852,-118.856262,-279.599945,-612.143311,-224.925720,-312.769012,-190.641052,-175.592407,-300.603516,-299.336273,-244.616821,-279.028198,-580.430298,-367.593475,-298.856750,-233.785950,-379.025482,-310.866394,-407.986877,-415.115509
2,0.017000,-299.724762,-750.089539,-133.750153,-274.818390,-739.259338,-227.064545,-332.905426,-265.990295,-118.759941,-279.625061,-611.566040,-224.392715,-312.625397,-189.356705,-176.173920,-300.394806,-298.759949,-244.167618,-279.528870,-580.423157,-367.153625,-298.694916,-233.584290,-378.759979,-311.202576,-407.995056,-414.716949
3,0.025000,-299.866272,-748.632874,-133.347763,-274.881317,-738.687622,-226.565842,-333.000336,-264.199585,-118.671577,-279.813751,-610.880493,-223.883667,-312.544342,-188.109909,-176.964081,-300.421783,-298.225098,-243.875381,-280.003296,-580.375977,-366.733917,-298.900818,-233.483398,-378.490997,-311.430603,-408.004272,-414.436707
4,0.033000,-300.057007,-747.084290,-132.961090,-274.966675,-737.903076,-226.242050,-333.065247,-262.431091,-118.724739,-280.090698,-610.160645,-223.559540,-312.597687,-186.945969,-177.665390,-300.691925,-297.561005,-243.605469,-280.156403,-580.361938,-366.457794,-299.075439,-233.600983,-378.606689,-311.634491,-408.032440,-414.227997
5,0.042000,-300.272247,-745.539001,-132.720093,-275.091583,-737.138123,-225.900772,-333.047760,-260.612976,-118.714943,-280.327271,-609.535278,-223.365036,-312.676178,-185.686356,-178.319580,-300.714142,-296.936646,-243.238556,-280.171173,-580.283630,-366.429413,-299.315491,-233.551895,-378.472717,-311.722809,-407.975067,-414.174103
6,0.050000,-300.312805,-743.962097,-132.338058,-275.177277,-736.319946,-225.610260,-333.224884,-258.869080,-118.616051,-280.266479,-608.836426,-223.543152,-312.850311,-184.307800,-178.812637,-300.843719,-296.186005,-242.706482,-279.988800,-580.216187,-366.702728,-299.597443,-233.502609,-378.327209,-311.716400,-407.860413,-414.304169
7,0.058000,-300.318298,-742.384460,-132.011566,-274.898041,-735.704895,-225.241867,-333.423279,-256.989288,-118.610222,-280.026917,-608.164551,-223.990005,-313.245697,-182.896530,-179.360413,-301.191376,-295.294098,-242.283676,-279.636353,-580.210632,-367.242035,-299.884155,-233.505600,-378.279144,-311.667938,-407.842987,-414.605804
8,0.067000,-300.389069,-740.743896,-131.759674,-274.490723,-735.092163,-224.982330,-333.617493,-255.114380,-118.564285,-279.845734,-607.662415,-224.593262,-313.627136,-181.472153,-180.029602,-301.509094,-294.302887,-241.719315,-279.249481,-580.296082,-367.958313,-300.039673,-233.581604,-378.298950,-311.518951,-407.940674,-415.043579
9,0.075000,-300.208496,-739.156372,-131.592468,-274.163544,-734.665039,-224.696365,-333.769318,-253.459366,-118.609520,-279.635010,-607.230713,-225.211609,-313.968750,-180.261948,-180.697250,-301.277954,-293.700928,-241.668320,-278.798065,-580.479492,-368.744843,-300.099762,-233.776474,-378.408173,-311.345490,-408.152740,-415.516266
10,0.083000,-300.233307,-737.566895,-131.327011,-273.945984,-734.356506,-224.451218,-333.872864,-251.647568,-118.619743,-279.361755,-606.896240,-225.979355,-313.954773,-179.257141,-181.485168,-301.310120,-293.036041,-241.567856,-278.394501,-580.856079,-369.591187,-299.674591,-234.129379,-378.821411,-310.971924,-408.451813,-416.152802
11,0.092000,-300.307861,-735.993347,-131.043137,-273.858917,-734.103271,-224.198792,-333.936157,-250.052963,-118.599213,-279.128113,-606.619629,-226.679291,-313.882019,-178.271576,-182.349991,-301.059418,-292.594818,-241.763931,-278.044464,-581.447876,-370.454742,-299.678192,-234.585632,-379.312775,-310.615051,-408.866455,-416.978577
12,0.100000,-300.348511,-734.561584,-130.844437,-273.835571,-733.991394,-224.006516,-333.848663,-248.421188,-118.676765,-278.884949,-606.443542,-227.563004,-313.717804,-177.619064,-183.314865,-300.690613,-292.223816,-242.158615,-277.674927,-582.082031,-371.440613,-298.862946,-234.968857,-380.250427,-310.203522,-409.481323,-417.881470
13,0.108000,-300.376831,-733.093018,-130.688812,-273.855621,-733.896729,-223.792755,-333.842316,-247.019348,-118.699982,-278.665558,-606.473328,-228.475479,-313.420197,-177.292725,-184.537628,-300.190033,-292.016815,-242.840515,-277.283295,-582.762939,-372.472565,-298.327454,-235.596786,-381.306549,-309.675018,-410.309937,-418.920593
14,0.117000,-300.416168,-731.713745,-130.359650,-273.790619,-733.834412,-223.480057,-333.721802,-245.508804,-118.638290,-278.298492,-606.389160,-229.444122,-313.044891,-177.097809,-185.748093,-299.489990,-292.140076,-243.859283,-276.874298,-583.593018,-373.639496,-297.810760,-236.762360,-382.360168,-309.116882,-411.061798,-420.128937
15,0.125000,-300.328217,-730.260742,-130.072632,-273.506287,-733.880493,-223.124786,-333.542694,-244.284592,-118.722336,-277.696777,-606.483643,-230.623642,-312.525208,-177.300110,-187.328354,-298.855560,-292.402252,-245.026535,-276.385895,-584.496826,-374.821411,-296.980927,-237.110580,-383.835205,-308.653931,-411.901062,-421.427521
16,0.133000,-300.275757,-728.786194,-129.920624,-273.363312,-733.675537,-222.897278,-333.402649,-243.020126,-118.829987,-277.247375,-606.381104,-231.729584,-311.981110,-177.852371,-188.929962,-298.501343,-292.856934,-246.468475,-275.840088,-585.372986,-376.156525,-296.619904,-238.543854,-385.469116,-308.020386,-412.806519,-422.890015
