Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
18,0.150000,-314.974060,-763.424988,-134.715042,-286.500702,-758.740173,-228.504471,-336.330414,-310.797485,-122.953316,-287.255859,-635.752319,-266.375854,-311.583344,-267.277893,-207.608627,-299.662354,-355.952423,-299.988251,-282.894928,-621.478027,-411.979431,-312.259766,-449.113647,-460.921875,-298.947083,-273.975647,-425.638123
19,0.158000,-314.917267,-761.327454,-134.767380,-286.501923,-757.248962,-228.527802,-336.141602,-308.874207,-123.032906,-286.934143,-634.393250,-267.157959,-311.460693,-266.408600,-208.208679,-298.782990,-355.490967,-300.249603,-282.757874,-622.182129,-412.979034,-312.080414,-449.672028,-461.729248,-298.524109,-274.408112,-426.344574
20,0.167000,-314.814392,-759.318665,-134.658966,-286.416809,-755.680054,-228.393417,-335.585907,-306.971252,-123.282951,-286.384705,-633.025940,-267.837799,-311.132141,-265.629547,-209.097443,-298.209686,-355.158081,-300.683960,-282.421417,-622.687500,-413.750427,-311.804077,-450.142334,-462.650879,-297.850128,-275.012512,-427.304657
21,0.175000,-314.760437,-757.303223,-134.348938,-286.127655,-753.958130,-228.090912,-334.371124,-304.968170,-123.607430,-286.106781,-631.643616,-268.314667,-310.066284,-265.308746,-210.437683,-297.961456,-355.364960,-301.453278,-281.969025,-622.941162,-414.272400,-311.455933,-450.529144,-463.332947,-297.889313,-275.263947,-428.213959
22,0.183000,-314.715057,-755.271179,-134.148911,-285.858704,-752.144592,-227.776657,-333.221527,-303.426910,-124.160484,-286.005585,-629.950989,-268.578186,-308.863770,-265.374451,-211.870636,-297.529480,-355.957733,-302.479828,-281.479645,-623.135803,-414.731750,-311.152924,-450.790253,-463.884491,-297.717133,-275.449768,-428.974884
23,0.192000,-314.695862,-753.164307,-134.056992,-285.615814,-750.362671,-227.694000,-331.893890,-302.017120,-125.346199,-285.802277,-628.322815,-268.883636,-307.835968,-265.198242,-213.770004,-296.903412,-356.745941,-303.559113,-280.940491,-623.227051,-415.066803,-310.890350,-450.896912,-464.385559,-297.613678,-275.465607,-429.579315
24,0.200000,-314.893250,-751.002747,-133.903366,-285.494873,-748.489990,-227.546387,-330.987976,-300.914917,-127.353668,-285.756378,-626.600708,-269.248718,-307.140747,-265.225464,-215.732773,-296.249756,-357.517242,-304.916260,-280.462280,-623.325928,-415.425507,-310.513977,-451.009430,-464.962891,-297.562805,-275.553192,-430.225708
25,0.208000,-314.878021,-748.960632,-133.829346,-285.459106,-746.517822,-227.461304,-330.599701,-300.562286,-129.383072,-285.396240,-624.793335,-269.690521,-306.949432,-265.354126,-217.993118,-295.901886,-358.499786,-306.177551,-279.984589,-623.497986,-415.905090,-310.015167,-451.161346,-465.522156,-297.250366,-275.823090,-431.113037
26,0.217000,-314.929169,-746.763000,-133.912476,-285.403564,-744.383057,-227.582993,-331.213135,-300.668854,-131.523666,-285.042114,-622.711060,-270.250610,-307.068695,-265.845886,-220.169144,-295.771362,-359.653168,-307.563568,-279.559387,-623.724365,-416.455994,-309.501312,-451.487701,-466.233063,-296.551605,-276.137054,-431.918518
27,0.225000,-314.799744,-744.546265,-133.977112,-285.322510,-742.139771,-227.605103,-331.831177,-301.482788,-133.701111,-284.612213,-620.669312,-270.760101,-307.487732,-266.470184,-222.209244,-295.584503,-360.945343,-309.131104,-279.093079,-623.913574,-416.945221,-308.943207,-451.763580,-466.916138,-295.985077,-276.370605,-432.705048
