,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 4301,Unlabeled 4301,Unlabeled 4301,Unlabeled 4302,Unlabeled 4302,Unlabeled 4302,Unlabeled 4303,Unlabeled 4303,Unlabeled 4303,Unlabeled 4304,Unlabeled 4304,Unlabeled 4304,Unlabeled 4305,Unlabeled 4305,Unlabeled 4305,Unlabeled 4306,Unlabeled 4306,Unlabeled 4306,Unlabeled 4307,Unlabeled 4307,Unlabeled 4307,Unlabeled 4308,Unlabeled 4308,Unlabeled 4308,Unlabeled 4309,Unlabeled 4309,Unlabeled 4309
,ID,"656D11BA8CFC447911EF","656D11BA8CFC447911EF","656D11BA8CFC447911EF","656E11BA8CFC447911EF","656E11BA8CFC447911EF","656E11BA8CFC447911EF","656F11BA8CFC447911EF","656F11BA8CFC447911EF","656F11BA8CFC447911EF","657011BA8CFC447911EF","657011BA8CFC447911EF","657011BA8CFC447911EF","657111BA8CFC447911EF","657111BA8CFC447911EF","657111BA8CFC447911EF","657211BA8CFC447911EF","657211BA8CFC447911EF","657211BA8CFC447911EF","657311BA8CFC447911EF","657311BA8CFC447911EF","657311BA8CFC447911EF","657411BA8CFC447911EF","657411BA8CFC447911EF","657411BA8CFC447911EF","657511BA8CFC447911EF","657511BA8CFC447911EF","657511BA8CFC447911EF"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
12,0.100000,-315.178986,-895.892883,-344.782867,-285.540070,-884.672852,-437.739227,-333.798920,-274.549255,-389.455292,-282.006989,-788.436035,-523.704712,-305.536011,-316.024200,-473.727051,-294.621552,-428.306976,-535.990601,-274.495300,-748.980530,-665.763611,-288.171387,-402.736176,-683.464294,-301.553467,-576.803345,-717.483887
13,0.108000,-315.210205,-896.266724,-345.272308,-285.497986,-884.933228,-438.227173,-333.803284,-276.171570,-388.426575,-282.038300,-788.303223,-523.680420,-305.540619,-316.951111,-473.038635,-294.385010,-428.851501,-536.264282,-274.509857,-748.931335,-665.751709,-288.340118,-402.795868,-683.492004,-301.576599,-576.766235,-717.495056
14,0.117000,-315.112213,-896.621765,-345.665009,-285.465393,-885.293335,-438.688721,-333.934265,-277.686829,-387.502319,-282.083099,-788.283997,-523.675293,-305.711853,-317.884918,-472.390594,-294.352570,-429.339386,-536.361511,-274.547485,-748.900818,-665.736084,-287.440643,-402.047424,-683.724182,-301.603668,-576.749573,-717.485962
15,0.125000,-315.192505,-896.806763,-346.187225,-285.525940,-885.724609,-439.189087,-333.953583,-279.717651,-386.399139,-282.106598,-788.240540,-523.659668,-305.654602,-318.708282,-471.743225,-294.308563,-429.860291,-536.527466,-274.608734,-748.882751,-665.727173,-287.443451,-402.027008,-683.678589,-301.645752,-576.714722,-717.468201
16,0.133000,-315.265564,-897.200134,-346.714935,-285.536652,-886.100281,-439.744415,-333.971741,-281.754242,-385.251068,-282.172852,-788.110291,-523.662048,-305.710144,-319.678406,-471.083496,-294.360413,-430.378387,-536.624146,-274.617706,-748.833496,-665.747498,-287.524933,-401.986725,-683.681763,-301.654755,-576.671326,-717.480347
17,0.142000,-315.309021,-897.713562,-347.200195,-285.518311,-886.487183,-440.247375,-334.110199,-283.225861,-384.393768,-282.231720,-788.052185,-523.680359,-305.750214,-320.608826,-470.436310,-294.300140,-430.845306,-536.818176,-274.648926,-748.786743,-665.733215,-287.578339,-401.964355,-683.699219,-301.676392,-576.629517,-717.481628
18,0.150000,-315.293427,-898.077271,-347.677063,-285.538513,-886.872437,-440.657288,-334.081665,-285.029785,-383.397308,-282.268890,-788.082092,-523.668884,-305.770264,-321.579132,-469.806183,-294.246582,-431.357513,-536.883301,-274.689178,-748.760071,-665.715881,-287.589325,-401.930481,-683.663025,-301.707367,-576.592285,-717.451233
19,0.158000,-315.250366,-898.354492,-348.243469,-285.538879,-887.297852,-441.260773,-334.120422,-287.007996,-382.266113,-282.299988,-788.034363,-523.676880,-305.849945,-322.548645,-469.244171,-294.264221,-431.779755,-537.002625,-274.742523,-748.731018,-665.697815,-287.637299,-401.892487,-683.633301,-301.727936,-576.578491,-717.421631
20,0.167000,-315.370789,-898.781738,-348.828125,-285.536621,-887.617065,-441.843384,-334.181671,-288.925507,-381.206238,-282.425751,-787.844788,-523.636475,-305.866150,-323.413971,-468.590729,-294.328064,-432.196503,-537.154358,-274.754761,-748.678711,-665.692993,-287.652313,-401.870026,-683.630981,-301.832031,-576.450134,-717.384827
21,0.175000,-315.371399,-899.232788,-349.380981,-285.578033,-887.990540,-442.348663,-334.333740,-290.513062,-380.368622,-282.500458,-787.840820,-523.644470,-306.065674,-324.476715,-468.008179,-294.341827,-432.692322,-537.253113,-274.802185,-748.643250,-665.680664,-287.729645,-401.836395,-683.638672,-301.872925,-576.417297,-717.383423
