Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-316.393707,-752.678955,-131.444931,-285.747925,-756.364807,-224.267029,-346.189514,-226.820709,-120.675591,-287.069733,-631.999512,-255.383820,-320.632355,-192.670532,-209.571167,-306.793365,-304.103149,-271.975891,-280.651001,-606.695801,-399.400757,-301.864777,-259.860016,-414.868561,-312.025879,-434.897705,-449.675201
1,0.008000,-316.445831,-751.215576,-131.350677,-285.784943,-756.462219,-224.135986,-344.612885,-228.364212,-121.432648,-287.059723,-632.294128,-256.407379,-319.704041,-193.505066,-209.923340,-306.087769,-304.838654,-273.135803,-280.513031,-607.724060,-400.603699,-301.501434,-260.336487,-415.958923,-311.770172,-435.917053,-450.956512
2,0.017000,-316.536224,-749.744446,-131.216934,-285.772125,-756.674683,-223.888718,-343.204681,-230.587738,-122.012115,-287.027802,-632.911072,-257.580292,-318.721283,-195.478119,-210.454544,-305.343353,-306.011475,-274.586273,-280.342499,-608.831360,-401.970428,-301.574646,-262.149017,-417.353516,-311.561340,-436.970062,-452.316467
3,0.025000,-316.524689,-748.295349,-131.062500,-285.796478,-757.070618,-223.689835,-341.952667,-233.563873,-122.555550,-286.710815,-633.729126,-258.995667,-317.307220,-197.783493,-210.799820,-304.659454,-307.749329,-276.281677,-280.218719,-610.141113,-403.505157,-300.439819,-262.535339,-419.004913,-311.245605,-438.158661,-453.861176
4,0.033000,-316.535309,-746.749756,-131.041153,-285.633698,-757.688110,-223.503815,-340.459137,-237.265686,-123.018425,-286.266144,-634.736389,-260.605865,-316.388916,-200.849960,-211.067047,-303.756042,-309.701904,-278.030304,-280.029572,-611.421814,-405.156525,-300.110413,-264.490082,-420.612518,-311.007538,-439.455231,-455.446747
5,0.042000,-316.523254,-745.146912,-131.136154,-285.669617,-758.209229,-223.382751,-339.230743,-241.214767,-122.962822,-286.001648,-635.648010,-262.168640,-315.036896,-204.131805,-210.745361,-302.745789,-311.874451,-279.833221,-280.015503,-612.870544,-406.831329,-299.304199,-265.901794,-422.365173,-310.690369,-440.857574,-457.045837
6,0.050000,-316.627869,-743.384033,-131.302689,-285.562866,-758.241211,-223.349365,-337.731812,-245.190475,-122.425919,-285.955536,-636.556274,-263.694092,-313.546265,-208.069016,-210.361771,-301.472321,-314.214050,-281.797424,-279.991791,-614.480591,-408.519104,-298.416840,-267.282959,-424.064606,-310.381287,-442.290131,-458.720764
7,0.058000,-316.731293,-741.763916,-131.365982,-285.757233,-758.536560,-223.117752,-336.147430,-248.804825,-121.528084,-285.919495,-637.531189,-265.268066,-312.264008,-212.395584,-209.643570,-300.545105,-316.737244,-283.668518,-280.045319,-616.075134,-410.230865,-297.800140,-269.146271,-425.801666,-310.056305,-443.851166,-460.359711
8,0.067000,-316.826111,-740.144409,-131.392853,-286.112213,-759.210876,-222.702194,-335.540558,-250.024384,-120.040771,-285.830505,-638.379639,-266.847046,-310.466827,-216.509567,-209.389221,-299.585144,-319.154572,-285.793396,-279.980042,-617.595520,-412.002167,-297.237640,-270.379639,-427.327271,-309.801910,-445.349457,-462.086060
9,0.075000,-316.913452,-738.577026,-131.474182,-286.128937,-759.208252,-222.527573,-335.141632,-249.452759,-120.691757,-285.681976,-639.343689,-268.484375,-309.936066,-219.103455,-211.046646,-299.012207,-321.411743,-287.773315,-279.979950,-619.216858,-413.721619,-296.458771,-271.778564,-429.105499,-309.525146,-446.871674,-463.901733
