Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-315.062134,-721.462402,-141.476501,-340.014679,-340.097626,-157.193466,-283.244659,-739.943542,-232.867340,-284.779846,-623.765076,-287.290436,-315.574158,-288.312408,-236.680130,-300.022980,-371.962646,-332.805725,-275.269104,-636.562744,-433.053864,-306.691406,-466.262512,-488.175385,-297.483215,-290.517731,-458.579376
1,0.008000,-315.000580,-721.380127,-143.622635,-340.134583,-346.929443,-159.959412,-282.874237,-739.613586,-234.891602,-284.825256,-622.875244,-288.650543,-316.077515,-292.919800,-238.390762,-300.054871,-375.285400,-335.709412,-275.096832,-637.498840,-434.282288,-306.595337,-467.151855,-489.456909,-297.793060,-290.929718,-459.418976
2,0.017000,-314.964539,-721.834717,-145.730057,-340.163544,-353.696259,-162.528656,-282.763367,-739.585999,-237.146942,-284.895782,-622.389343,-290.093628,-316.050018,-298.110443,-239.977707,-299.882172,-378.709778,-338.721344,-275.016632,-638.410400,-435.433472,-306.585449,-468.110596,-490.582245,-298.011719,-291.730011,-460.593109
3,0.025000,-315.103302,-722.847900,-147.781876,-339.811157,-360.627197,-164.857971,-282.653229,-739.817261,-239.257828,-284.953400,-622.243225,-291.230438,-315.816711,-303.641998,-241.256775,-299.727386,-382.232300,-341.519958,-274.932373,-639.291992,-436.504608,-306.642303,-468.886139,-491.572815,-297.629913,-291.801636,-461.474426
4,0.033000,-315.160522,-724.440430,-149.909821,-339.316620,-368.147644,-167.067383,-282.825592,-741.029297,-241.502625,-285.099670,-622.530884,-292.328949,-315.560242,-309.355927,-242.085876,-299.488312,-385.464478,-344.231018,-274.898621,-640.022949,-437.499420,-306.634644,-469.600220,-492.395447,-297.900513,-292.669220,-462.332458
5,0.042000,-315.333008,-726.627869,-151.954697,-338.919952,-375.793823,-169.181747,-283.022919,-742.064514,-243.748062,-285.229919,-623.093628,-293.328583,-315.257538,-315.237457,-242.822250,-299.249664,-388.713104,-346.835571,-274.983459,-640.676086,-438.339081,-306.720947,-470.413788,-493.061554,-297.851776,-293.691528,-463.003510
6,0.050000,-315.517212,-729.508362,-154.090775,-338.415283,-383.662933,-171.430893,-283.200439,-743.600952,-246.137085,-285.484955,-623.821960,-294.004974,-315.004028,-321.126770,-243.421768,-298.994385,-392.001068,-349.359161,-275.150208,-641.422241,-439.074219,-306.740479,-470.851562,-493.606049,-297.875763,-294.266205,-463.352509
7,0.058000,-315.754181,-732.867798,-156.417877,-338.064331,-391.258636,-173.520233,-284.384094,-744.862061,-248.609222,-285.713531,-624.875488,-294.635010,-314.932739,-327.124969,-244.013168,-298.712646,-395.028656,-351.870483,-275.254486,-642.041199,-439.718323,-306.829681,-471.296326,-494.004944,-297.921661,-295.055298,-463.651245
8,0.067000,-315.974030,-736.639099,-158.920044,-337.656708,-398.587280,-175.285370,-284.723450,-746.910950,-251.387741,-285.895386,-626.123535,-295.149658,-314.535645,-333.130554,-244.687500,-298.458740,-397.932617,-354.428772,-275.352112,-642.524231,-440.254517,-306.859772,-471.776398,-494.394043,-297.660980,-295.588898,-463.993073
9,0.075000,-316.196045,-740.734558,-161.580948,-337.317535,-405.514435,-177.018951,-285.035278,-749.098511,-254.184937,-286.061829,-627.431030,-295.529419,-314.230255,-338.917908,-245.225266,-298.315491,-400.408630,-356.738586,-275.455780,-642.948059,-440.747284,-306.905029,-472.101562,-494.687256,-297.607239,-295.934143,-464.217651
10,0.083000,-316.244202,-745.169495,-164.445236,-336.829865,-412.190674,-178.575348,-285.229919,-751.403687,-257.188782,-286.173218,-628.749268,-295.835175,-313.942596,-344.377808,-245.653946,-297.929474,-402.667450,-358.992798,-275.575531,-643.265259,-441.109985,-306.992676,-472.370789,-494.871613,-297.508209,-296.156952,-464.419556
11,0.092000,-316.104797,-749.844727,-167.402573,-336.181519,-418.349548,-180.007736,-285.154175,-753.754395,-260.372711,-286.176910,-630.248901,-296.085266,-313.450378,-349.683167,-246.140961,-297.595642,-404.621094,-361.116425,-275.705017,-643.445740,-441.454224,-307.012604,-472.580627,-495.103333,-297.476837,-296.247803,-464.615082
12,0.100000,-315.671814,-754.692627,-170.312424,-335.538910,-423.940216,-181.265381,-284.991699,-755.971619,-263.446106,-286.130524,-631.716248,-296.219666,-312.866150,-354.469208,-246.719879,-297.294434,-406.417877,-363.311096,-275.829102,-643.558350,-441.769287,-307.123810,-472.625488,-495.313751,-297.441010,-296.257477,-464.815887
13,0.108000,-314.870667,-759.811646,-173.336624,-334.567352,-428.998505,-182.529999,-284.488770,-758.346741,-266.552399,-285.970734,-633.397583,-296.347595,-312.231537,-358.767487,-247.360107,-297.213867,-407.848877,-365.174683,-275.960724,-643.562317,-442.042450,-307.183380,-472.532562,-495.629700,-297.383881,-296.221802,-465.086243
14,0.117000,-314.207031,-765.061401,-176.290466,-333.861938,-433.296295,-183.936386,-283.934662,-760.693848,-269.615234,-285.717102,-635.053955,-296.573486,-311.733643,-362.434082,-248.088593,-296.785614,-409.072388,-366.993591,-276.106720,-643.530029,-442.288727,-307.279663,-472.509186,-495.866150,-297.263794,-296.131744,-465.376038
15,0.125000,-313.055725,-770.267883,-179.506516,-333.322510,-436.738586,-185.164780,-283.322540,-763.115723,-272.687958,-285.346161,-636.868896,-296.687408,-311.162292,-365.507202,-248.841141,-296.460876,-410.022980,-368.609070,-276.215179,-643.445862,-442.490723,-307.358307,-472.425873,-496.050323,-297.136292,-295.999878,-465.656372
16,0.133000,-312.705933,-775.633423,-182.528610,-332.710907,-439.484741,-186.065781,-282.727112,-765.548645,-275.879944,-284.918396,-638.713867,-296.728516,-310.573181,-367.814331,-249.271194,-296.231659,-410.785736,-369.825470,-276.313934,-643.374573,-442.707886,-307.390503,-472.367920,-496.201965,-296.974915,-295.945160,-465.954254
17,0.142000,-311.840210,-780.968018,-185.860443,-332.051453,-441.206024,-186.480408,-282.219055,-767.911621,-278.995300,-284.570221,-640.595337,-296.879456,-309.691864,-369.370026,-249.417053,-296.001892,-410.943054,-370.364594,-276.419159,-643.342773,-442.884857,-307.453339,-472.302216,-496.325653,-296.658752,-295.959198,-466.195557
18,0.150000,-311.121613,-786.203735,-189.221191,-331.390442,-441.667084,-186.225891,-281.779633,-770.289368,-282.064178,-284.265289,-642.621216,-296.953003,-309.196350,-369.705200,-248.992188,-295.444092,-410.703094,-370.368835,-276.541931,-643.304382,-443.058746,-307.455414,-472.241852,-496.380280,-296.318695,-295.874298,-466.264404
19,0.158000,-310.489807,-791.291260,-192.588257,-330.796875,-440.960632,-185.693909,-281.573944,-772.700562,-284.926605,-283.927460,-644.797546,-296.998138,-308.454315,-369.155823,-248.741959,-295.003693,-410.504913,-369.967651,-276.659271,-643.264160,-443.083496,-307.445282,-472.145599,-496.281250,-295.948669,-295.745148,-466.129700
20,0.167000,-310.239075,-796.387573,-195.787064,-330.105774,-439.355530,-185.045654,-281.350220,-775.221863,-287.653870,-283.735626,-647.001343,-296.846588,-307.607483,-368.057007,-248.565186,-294.770966,-410.282562,-369.413666,-276.715454,-643.147949,-442.943512,-307.386017,-471.891205,-496.052429,-295.659119,-295.595459,-465.802490
21,0.175000,-309.864197,-801.338501,-198.994919,-329.443390,-437.114899,-184.249969,-281.318176,-777.616699,-290.227844,-283.627716,-649.239685,-296.586060,-306.978363,-366.356201,-248.331406,-294.358154,-409.755585,-368.780518,-276.708771,-642.933411,-442.551117,-307.252777,-471.544464,-495.559021,-295.384338,-295.341156,-465.273529
22,0.183000,-309.882660,-806.240234,-202.021591,-328.911133,-434.793427,-183.282150,-281.193359,-779.891479,-292.640900,-283.469086,-651.349548,-296.117981,-306.591370,-364.235321,-247.680023,-294.047943,-409.112823,-367.607330,-276.587555,-642.631165,-442.037048,-307.066315,-471.283356,-494.959717,-295.150909,-294.967010,-464.625854
23,0.192000,-309.442627,-811.173035,-205.275467,-328.498993,-432.233917,-182.023926,-281.136505,-781.987732,-294.912140,-283.404572,-653.462219,-295.528961,-306.071747,-362.218384,-246.975555,-293.651459,-408.122314,-366.455139,-276.420776,-642.166626,-441.291138,-306.962311,-470.770721,-494.217377,-294.906921,-294.491913,-463.946930
24,0.200000,-309.242676,-815.863037,-208.142136,-328.402283,-429.681763,-180.504608,-280.863037,-784.078308,-296.967590,-283.164093,-655.554016,-294.899200,-305.955292,-360.106842,-245.851608,-293.592163,-407.022217,-364.922791,-276.262909,-641.691345,-440.365112,-306.747192,-470.279755,-493.449615,-294.779663,-294.071960,-463.287231
25,0.208000,-308.724182,-820.465027,-210.887299,-328.503571,-426.993286,-178.699631,-280.500580,-785.997314,-298.776459,-282.952332,-657.507324,-294.244995,-306.081573,-357.840546,-244.521881,-293.609894,-405.586365,-363.234589,-276.088196,-641.094543,-439.444214,-306.615509,-469.662415,-492.565216,-294.794434,-293.398315,-462.423645
