Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-309.457855,-708.767883,-135.042145,-325.014496,-330.651550,-168.945312,-280.850128,-716.135681,-228.725647,-279.993103,-605.911865,-295.397003,-301.135559,-298.353271,-258.366547,-289.988190,-390.582306,-347.597260,-273.898193,-638.212708,-438.096497,-291.042114,-290.763214,-460.221832,-304.429230,-467.033295,-490.825989
1,0.008000,-309.405182,-706.787048,-135.413177,-325.434265,-334.028442,-171.527191,-280.492279,-715.015259,-228.942963,-279.815247,-605.694641,-297.188477,-301.478333,-301.721466,-260.773987,-289.923950,-393.243591,-350.607788,-273.354279,-639.851074,-439.503357,-291.186462,-292.279236,-461.913940,-304.018280,-468.527588,-492.501801
2,0.017000,-309.406281,-704.857849,-135.846024,-326.272583,-337.544281,-173.711121,-280.266266,-713.886414,-229.249313,-279.842438,-605.372925,-298.975891,-301.982819,-304.840607,-262.825867,-289.991119,-395.796875,-353.286133,-272.698059,-641.282776,-440.845917,-291.079254,-293.913025,-463.763977,-303.544830,-470.167419,-494.079407
3,0.025000,-309.293060,-703.323975,-136.341095,-327.358337,-340.868896,-175.615967,-280.017792,-712.661804,-229.791885,-279.781891,-604.982544,-300.686005,-302.780914,-307.966705,-264.645660,-290.153320,-398.127960,-355.748474,-272.079620,-642.677734,-442.093628,-291.151337,-295.329926,-465.401001,-303.175140,-471.591919,-495.615387
4,0.033000,-309.336182,-702.071594,-137.273087,-328.619141,-343.763763,-177.420166,-279.737335,-711.697144,-230.467484,-279.680542,-604.699768,-302.331055,-303.654938,-310.837738,-266.365326,-290.432190,-400.326996,-358.014893,-271.352570,-643.913391,-443.299194,-291.316040,-296.656372,-466.875763,-302.759338,-472.940674,-496.920258
5,0.042000,-309.355621,-701.211975,-138.353546,-329.924042,-346.670319,-179.117798,-279.738739,-711.019653,-231.413620,-279.545746,-604.617920,-304.014893,-304.980194,-313.493011,-267.739319,-290.935333,-402.184692,-360.033752,-270.613586,-644.906433,-444.597748,-291.693512,-297.719177,-468.166321,-302.365662,-474.055511,-498.398712
6,0.050000,-309.425507,-701.065491,-139.515076,-331.720306,-349.300598,-180.650330,-279.567749,-710.792664,-232.449814,-279.416809,-604.721008,-305.509888,-306.272308,-315.827362,-269.144135,-291.424957,-403.909088,-361.939819,-269.816101,-645.843689,-445.842712,-292.123657,-298.754517,-469.355591,-302.047089,-475.176819,-499.548462
7,0.058000,-309.580627,-701.387329,-140.864426,-333.609985,-351.717590,-182.082901,-279.289551,-710.974670,-233.644730,-279.318329,-604.986694,-306.888641,-307.834961,-318.096802,-270.486206,-291.942780,-405.596191,-363.645721,-269.152161,-646.853943,-446.949127,-292.377197,-299.702728,-470.423462,-301.636200,-476.051422,-500.770935
8,0.067000,-309.848480,-702.226013,-142.422562,-335.536652,-354.137299,-183.676193,-279.265442,-711.508118,-235.138351,-279.399231,-605.437805,-308.145569,-309.278229,-319.977509,-271.769989,-292.488525,-406.979645,-365.242828,-268.587311,-647.623474,-448.083221,-292.732513,-300.624542,-471.431946,-301.312073,-476.971710,-501.911591
9,0.075000,-310.340363,-703.716858,-144.108612,-337.205719,-356.436188,-185.100235,-279.432098,-712.380371,-236.749649,-279.640381,-605.965393,-309.309265,-310.610931,-321.684753,-273.003235,-293.097870,-408.264862,-366.686249,-268.149628,-648.373657,-449.086548,-293.022797,-301.461060,-472.512909,-301.014313,-477.892151,-503.123291
